specimen,length_cm,age
9106-18,43.82,43
9106-19,52.07000000000001,52
9106-20,49.85,41
9106-21,44.45,44
9106-22,44.45,34
9106-23,46.989999999999995,40
9106-24,50.17,48
9106-25,44.45,40
9106-26,48.260000000000005,52
9106-27,56.52,45
9106-28,74.61,59
9106-29,45.72,44
9106-30,51.12,37
9106-31,48.9,38
1,42,25
2,39.4,24
3,36.4,20
4,26.4,17
5,24.8,15
6,25.1,15
7,25.4,12
8,35.3,27
9,33.5,23
10,44.6,29
11,28.8,19
12,33.3,22
13,28.6,17
14,25.9,16
15,25.9,16
16,23.9,14
17,23.1,12
18,25.6,17
19,24.3,14
20,25.1,14
21,23.4,12
22,21,10
23,23.3,15
24,34.8,19
25,25.7,14
26,29.6,19
27,31.6,20
28,32.2,17
29,22,12
30,27,12
31,23.2,15
32,22.8,11
33,24.2,13
34,26.4,13
35,25.4,13
36,23.8,13
37,23,14
38,23.8,13
39,25.2,15
40,32.6,19
41,24,14
42,17.3,8
43,29.5,16
44,23.4,12
45,28.6,17
46,29.8,14
47,27.5,14
48,33.4,23
49,22.5,15
50,27.8,16
51,24.4,13
52,48.5,31
53,25.3,13
54,33,24
55,44,42
56,22.6,13
57,36.4,29
58,25.8,14
60,25.8,12
61,19.8,10
62,21.5,11
63,20,10
64,28,16
65,23.2,14
66,19.6,9
67,21.3,10
68,18.6,9
69,21,13
70,20.5,9
71,23.4,14
72,16.7,7
73,15.9,6
74,11.5,8
75,32.4,15
76,31.2,21
77,26.8,11
78,32.1,14
80,59.8,43
81,67,64
82,46.3,33
83,45.9,39
84,38,29
85,43.7,38
86,34.8,25
87,34.8,26
88,34.9,20
89,36.5,23
91,28.8,18
92,30.8,15
93,24.2,13
94,26.5,14
95,27.4,16
96,35,22
97,38.9,20
98,33.3,19
99,35.8,21
100,29,16
101,36.5,30
102,38,27
103,38.2,29
104,38.1,24
105,28.1,18
106,39,27
107,43.4,22
108,33.2,17
109,36.4,23
110,38.2,26
111,42.3,20
112,50.6,46
115,47,25
116,34.3,22
117,34.5,20
118,37.3,26
120,37.5,20
122,29.5,18
123,30,16
124,32,16
125,39.8,22
126,72.3,66
127,52.5,28
128,38,28
129,65.2,59
130,44.9,30
132,39.1,20
133,40,24
134,39.3,26
136,49,33
137,45.8,32
138,46.9,32
139,53.9,38
140,51,40
141,42.1,39
142,41.4,28
143,44.4,33
144,45,36
145,53.5,41
146,56.6,40
147,43.8,39
148,52,38
149,42.3,30
150,50,36
151,41.5,34
152,56.5,39
153,49.4,31
154,50.4,29
155,43.2,27
157,40.2,25
158,39.7,28
159,38.4,28
160,42.7,31
161,43,35
162,41.9,27
163,54,34
164,55,45
165,45.9,41
166,49.2,35
167,64,56
168,53.2,46
169,46.4,31
170,36,30
171,28,23
172,37.1,31
173,35,32
174,40,35
175,33,20
176,37.8,26
177,42.5,33
178,37.7,26
179,34.2,21
180,61,48
181,57.5,47
182,35.8,25
183,37,25
184,40,25
185,35.9,23
186,32.5,21
187,41.2,35
188,37.4,21
189,54.5,54
190,37.5,30
191,32.4,23
192,52.5,33
193,41.4,40
195,34.1,21
196,35.5,22
197,34.9,21
198,44.5,35
199,45.4,28
200,50.3,30
201,51.9,39
202,49.5,33
203,55,54
204,51.4,37
205,49.4,41
206,44.8,26
207,20.3,9
208,37.9,29
209,30.1,14
211,32.5,21
212,21.4,10
213,26.2,12
214,35,23
215,26.9,13
217,49.5,33
218,56.3,52
219,24.8,15
220,39.3,20
221,25,12
222,30.2,14
223,28.4,12
224,32.7,19
225,53.4,39
226,32.1,22
227,32.8,19
228,32.2,20
230,40.6,25
231,31,20
232,31.2,15
233,26.6,17
234,28.5,14
235,48,31
236,24.5,12
237,46,35
238,30.6,17
239,40.2,27
240,37,24
241,34,17
242,36.8,25
243,35.5,22
244,37.6,23
245,31,16
246,32.5,22
247,32.1,20
248,31.6,20
249,33.9,19
250,25.5,12
251,27.2,13
252,25.4,15
254,26.2,13
255,29,19
256,29.9,20
257,29.5,19
258,24.8,12
259,35,23
260,29,14
261,36,27
262,21.6,10
263,26.2,12
264,24.8,12
265,27.1,12
266,26.1,12
267,29.8,16
268,26.8,15
269,37,25
270,24.2,14
271,24.5,11
272,24.7,13
273,38.6,23
274,38.6,24
275,28.3,14
276,31.5,16
277,26.4,14
278,30.3,16
279,31.2,17
280,32.1,16
281,25,12
282,28.3,15
283,29.6,20
284,25.9,15
285,26.1,12
286,26.6,12
287,25.4,12
288,28,16
289,34.3,23
290,34.3,18
291,33,20
292,62.1,45
294,70,71
295,67.9,58
296,58.5,51
297,47.9,32
298,50.3,41
299,54.1,41
300,45.5,28
301,51,30
302,49.1,25
303,48.5,38
304,41.1,29
306,43.5,29
307,44.7,31
308,45.5,35
309,40.6,26
310,49.5,38
311,40.9,29
312,42.4,32
313,37.3,22
314,47.2,36
315,36.4,28
316,39.5,22
317,35.8,21
318,37.9,28
319,37.8,20
320,47.5,27
394,73,70
395,71.5,83
