"","Yr","Seas","Flt","Discard","Std_in"
"1",1984,1,1,0.3448,0.780452436194896
"2",1985,1,1,0.3439,0.826112241930794
"3",1986,1,1,0.3663,0.770952770952771
"4",1995,1,1,0.132,0.4
"5",1996,1,1,0.155,0.2
"6",1997,1,1,0.201,0.21
"7",1998,1,1,0.136,0.22
"8",1999,1,1,0.252,0.3
"9",2002,1,1,0.234567100607366,0.134399087569022
"10",2003,1,1,0.301959459827909,0.115967109679903
"11",2004,1,1,0.185900114128878,0.125818121315545
"12",2005,1,1,0.149951234385085,0.162968580742313
"13",2006,1,1,0.1509733781215,0.169901047646089
"14",2007,1,1,0.111780765493197,0.172262461721933
"15",2008,1,1,0.0443222392589281,0.251863034581087
"16",2009,1,1,0.0936822900723265,0.206861911051525
"17",2010,1,1,0.0810228355467158,0.219997392791379
"18",2011,1,1,0.0501172972174539,0.001
"19",2012,1,1,0.0389900666471727,0.001
"20",2013,1,1,0.0599042669074399,0.001
"21",2014,1,1,0.0740646410759887,0.001
"22",2015,1,1,0.00829150682797916,0.0136396717662322
"23",2016,1,1,0.0126316049861428,0.526366590445125
"24",2017,1,1,0.00998991896030314,0.849237325384816
"25",2018,1,1,0.0103604463755454,1.8624942486074
"26",2019,1,1,0.0338271578217669,0.604888749289164
"27",2020,1,1,0.0564600371516128,0.0236756235624904
"28",2021,1,1,0.118828356715747,0.377449824245226
"29",2002,1,2,0.171848723617873,0.178111679535
"30",2003,1,2,0.129363756828645,0.211682668367231
"31",2004,1,2,0.122731020313512,0.261098469875179
"32",2005,1,2,0.114497299288156,0.259986839269107
"33",2006,1,2,0.0565089234942199,0.44990981060045
"34",2007,1,2,0.0245061378940247,0.221554068710905
"35",2008,1,2,0.019454024822718,0.185999581261134
"36",2009,1,2,0.0223614776624876,0.195851069502407
"37",2010,1,2,0.0155415655177153,0.214445902771785
"38",2011,1,2,0.00528280964154346,0.001
"39",2012,1,2,0.0075045368549519,0.001
"40",2013,1,2,0.0056769562824829,0.001
"41",2014,1,2,0.0663489477963241,0.001
"42",2015,1,2,0.0101244871491411,0.001
"43",2016,1,2,0.00918048836589296,0.001
"44",2017,1,2,0.0868792296111911,0.001
"45",2018,1,2,0.024859346873798,0.001
"46",2019,1,2,0.161209999140943,0.001
"47",2020,1,2,0.119628172231512,0.001
"48",2021,1,2,0.0876485169825407,0.001
"49",2002,1,3,0.238105234201013,0.187312275520858
"50",2003,1,3,0.26748482704666,0.230056283601744
"51",2004,1,3,0.277632063962795,0.325310647688133
"52",2005,1,3,0.151677595783408,0.207791530707688
"53",2006,1,3,0.27375175314772,0.479229849309374
"54",2007,1,3,0.285003937921548,0.200705088738933
"55",2008,1,3,0.162713393086459,0.206562901227486
"56",2009,1,3,0.125568397147878,0.256503897092999
"57",2010,1,3,0.197753514461503,0.208167995601878
"58",2011,1,3,0.166886973055946,0.194869167655724
"59",2012,1,3,0.28459080185405,0.178819248068969
"60",2013,1,3,0.318660603090832,0.267254385520365
"61",2014,1,3,0.225628367426893,0.293197038999174
"62",2015,1,3,0.253907860523286,0.300737083625034
"63",2016,1,3,0.405918495160732,0.265931719965373
"64",2017,1,3,0.239114652772322,0.270144378633148
"65",2018,1,3,0.305049579296856,0.253464781793434
"66",2019,1,3,0.187680314986247,0.182513690632277
"67",2020,1,3,0.178679473800194,0.309542439678028
"68",2021,1,3,0.291847636222829,0.289206094513841
