"","Year","Seas","Fleet","Partition","Type","Value","Std_in"
"1",2002,1,1,1,2,0.254707000937287,2.07862779486452
"2",2003,1,1,1,2,0.284307429940846,1.26543443387062
"3",2004,1,1,1,2,0.165941769773544,0.989867803745482
"4",2005,1,1,1,2,0.148129198378478,0.811914173155377
"5",2006,1,1,1,2,0.296807627217049,12.6953176276581
"6",2007,1,1,1,2,0.113958305682044,0.732951885767719
"7",2008,1,1,1,2,0.0865507643649052,1.00487848870521
"8",2009,1,1,1,2,0.105807207736979,0.600371356225089
"9",2010,1,1,1,2,0.125592436900926,1.63280269379605
"10",2011,1,1,1,2,0.0994466684504678,2.47606335056166
"11",2012,1,1,1,2,0.0904862975703112,1.73119796362669
"12",2013,1,1,1,2,0.0827805301178056,1.47109303177119
"13",2014,1,1,1,2,0.0767623762573862,0.768960293377995
"14",2015,1,1,1,2,0.0792362250492318,2.20166127492601
"15",2016,1,1,1,2,0.087174887229815,2.45695720697631
"16",2017,1,1,1,2,0.0779038277622866,0.749955558034818
"17",2018,1,1,1,2,0.0783012567040521,1.00934127516131
"18",2019,1,1,1,2,0.105727818383002,0.625305184073551
"19",2020,1,1,1,2,0.153987084694329,0.607491771948239
"20",2021,1,1,1,2,0.187206601510051,0.615470752442614
"21",2002,1,2,1,2,0.495770529036523,0.939924518657447
"22",2003,1,2,1,2,0.415939438993194,0.926074097998192
"23",2004,1,2,1,2,0.364861530274797,0.929941047983783
"24",2005,1,2,1,2,0.302595277012889,1.04670661924511
"25",2006,1,2,1,2,0.21553388897457,1.11119951833307
"26",2007,1,2,1,2,0.161047958579487,2.82394885092681
"27",2008,1,2,1,2,0.145099306802167,1.58937825171843
"28",2009,1,2,1,2,0.147740518411019,1.34859266847995
"29",2010,1,2,1,2,0.177523529845727,1.80782238456514
"30",2011,1,2,1,2,0.11866538261248,1.22697887341842
"31",2012,1,2,1,2,0.106149086781235,1.71311738829273
"32",2013,1,2,1,2,0.114482223562227,1.46093305909701
"33",2014,1,2,1,2,0.104252963827432,0.872140995797659
"34",2015,1,2,1,2,0.118996760106399,1.69871602382121
"35",2016,1,2,1,2,0.117198014170136,0.687591148935925
"36",2017,1,2,1,2,0.122693731746667,0.685371337916958
"37",2018,1,2,1,2,0.121009359959892,0.491231166360214
"38",2019,1,2,1,2,0.138789702731293,0.428011133576253
"39",2020,1,2,1,2,0.165450113394054,0.38136660671104
"40",2021,1,2,1,2,0.171257176195086,0.5556234751471
"41",2002,1,3,1,2,0.462774718044442,0.803545967273184
"42",2003,1,3,1,2,0.618482499990283,0.798912767571906
"43",2004,1,3,1,2,0.609062882111198,0.642807935232376
"44",2005,1,3,1,2,0.667637037085647,0.752368258157163
"45",2006,1,3,1,2,0.776132607703164,0.486048251219857
"46",2007,1,3,1,2,0.757720709966661,0.604351196128212
"47",2008,1,3,1,2,0.660896753684377,0.604368435359353
"48",2009,1,3,1,2,0.747469081042227,0.584491852199811
"49",2010,1,3,1,2,0.76133969650403,0.735553214880386
"50",2011,1,3,1,2,1.02130333787423,0.886880301902178
"51",2012,1,3,1,2,1.06306986727576,0.782919528271657
"52",2013,1,3,1,2,0.96072243054866,0.675410540859197
"53",2014,1,3,1,2,0.832619300750911,0.717726073035238
"54",2015,1,3,1,2,0.858118193322791,0.715281320819488
"55",2016,1,3,1,2,1.1305962134986,0.793116089359367
"56",2017,1,3,1,2,0.933312933725645,0.81328847368941
"57",2018,1,3,1,2,0.948930725603692,0.63319230344774
"58",2019,1,3,1,2,0.972382620059333,0.583176735627389
"59",2020,1,3,1,2,1.10151365956522,0.76909057851257
"60",2021,1,3,1,2,0.769265294289753,0.979792686664088
"61",2002,1,4,1,2,0.501408674528423,0.872290795592705
"62",2003,1,4,1,2,0.566448213060209,0.665916666882407
"63",2004,1,4,1,2,0.545933794129247,0.680789520351148
"64",2005,1,4,1,2,0.6818891701281,0.959066100941998
"65",2006,1,4,1,2,0.514268808068568,0.556543077752518
"66",2007,1,4,1,2,0.335526220961552,0.689973103714264
"67",2008,1,4,1,2,0.464926473941519,1.06313284146751
"68",2009,1,4,1,2,0.568371616739152,0.80252810052269
"69",2010,1,4,1,2,0.89418103909846,0.709371328656206
"70",2011,1,4,1,2,1.21061280139109,0.482294272204068
"71",2012,1,4,1,2,1.26826817561601,0.495529856389254
"72",2013,1,4,1,2,1.42138602552156,0.460921758557603
"73",2014,1,4,1,2,1.57142451554357,0.508557032394132
"74",2015,1,4,1,2,1.40943949410034,0.572234353496377
"75",2016,1,4,1,2,1.57332233061853,0.341175648023295
"76",2017,1,4,1,2,1.29818941095114,0.602150479810814
"77",2018,1,4,1,2,1.02104001839976,0.631089189942834
"78",2019,1,4,1,2,1.27602145117922,0.616546599217338
"79",2020,1,4,1,2,0.842334882205128,0.847053183365826
"80",2021,1,4,1,2,1.26598649729079,0.611597353327213
