year,season,fleet,catch,catch_se
1901,1,1,0,0.01
1902,1,1,0,0.01
1903,1,1,0,0.01
1904,1,1,0,0.01
1905,1,1,0,0.01
1906,1,1,0,0.01
1907,1,1,0,0.01
1908,1,1,0,0.01
1909,1,1,0,0.01
1910,1,1,0,0.01
1911,1,1,0,0.01
1912,1,1,0,0.01
1913,1,1,0,0.01
1914,1,1,0,0.01
1915,1,1,0,0.01
1916,1,1,0,0.01
1917,1,1,0,0.01
1918,1,1,0,0.01
1919,1,1,0,0.01
1920,1,1,0,0.01
1921,1,1,0,0.01
1922,1,1,0,0.01
1923,1,1,0,0.01
1924,1,1,0,0.01
1925,1,1,0,0.01
1926,1,1,0,0.01
1927,1,1,0,0.01
1928,1,1,0,0.01
1929,1,1,0,0.01
1930,1,1,0,0.01
1931,1,1,0,0.01
1932,1,1,0.002,0.01
1933,1,1,0.001,0.01
1934,1,1,0,0.01
1935,1,1,0.001,0.01
1936,1,1,0.003,0.01
1937,1,1,0.006,0.01
1938,1,1,0,0.01
1939,1,1,0.008,0.01
1940,1,1,0.187,0.01
1941,1,1,0.288,0.01
1942,1,1,0.687,0.01
1943,1,1,3.058,0.01
1944,1,1,5.342,0.01
1945,1,1,5.341,0.01
1946,1,1,4.073,0.01
1947,1,1,4.751,0.01
1948,1,1,13.376,0.01
1949,1,1,13.515,0.01
1950,1,1,6.926,0.01
1951,1,1,11.165,0.01
1952,1,1,13.849,0.01
1953,1,1,2.626,0.01
1954,1,1,112.452931976,0.01
1955,1,1,62.92761176,0.01
1956,1,1,133.041634856,0.01
1957,1,1,63.87958292,0.01
1958,1,1,27.80210132,0.01
1959,1,1,28.811122784,0.01
1960,1,1,31.088835984,0.01
1961,1,1,28.547111712,0.01
1962,1,1,22.47407336,0.01
1963,1,1,7.77,0.01
1964,1,1,25.187776,0.01
1965,1,1,31.75138588,0.01
1966,1,1,623.084,0.01
1967,1,1,375.821,0.01
1968,1,1,207.453,0.01
1969,1,1,215.726935445287,0.01
1970,1,1,179.789542610723,0.01
1971,1,1,347.5303625497,0.01
1972,1,1,390.425543836717,0.01
1973,1,1,704.173409903686,0.01
1974,1,1,219.174132274173,0.01
