year,seas,fleet,index,se_log
1980,7,5,1988.59096333445,0.158231023283259
1983,7,5,1891.1316505815998,0.106010659468563
1986,7,5,1934.48878330338,0.175768423870399
1989,7,5,1963.95620452995,0.136817120907271
1992,7,5,1928.8534334574,0.143560302575838
1995,7,6,7546.9451168461,0.103176694842464
1998,7,6,6590.1758615524395,0.107536833041004
2001,7,6,7314.27141975207,0.0890998113907064
2004,7,6,7839.89259291796,0.128163647066287
1997,7,7,43486.9371321369,0.0888154069150897
1999,7,7,43474.612970235896,0.0837296377216965
2000,7,7,55589.7441108773,0.0972136125936433
2001,7,7,54692.6485651974,0.10045980221194
1998,7,8,67811.3697105201,0.0638867363982446
1999,7,8,75298.9337604442,0.0899879738618028
2000,7,8,73831.8181233108,0.111914592823468
2001,7,8,71720.77676308049,0.0669383131897995
2002,7,8,92668.8914201765,0.0726815170068565
2003,7,9,50654.596490194795,0.105227420106877
2004,7,9,52952.4133678041,0.092892308558838
2005,7,9,48194.477757921195,0.0584263762290811
2006,7,9,47416.571786709006,0.069675651691948
2007,7,9,48874.540546273405,0.0809471669236504
2008,7,9,43530.0499861819,0.0620620457130562
2009,7,9,57265.2501808082,0.186795654782928
2010,7,9,46055.4848211901,0.0833550460597565
2011,7,9,47984.093165467595,0.0680070311077625
2012,7,9,53234.232768921596,0.0848219097967493
2013,7,9,47904.121675622795,0.0824450693019565
2014,7,9,48602.5402436253,0.0854936705415572
2015,7,9,47261.8320661442,0.0667888457370871
2016,7,9,53192.3523251019,0.0717352272121509
2017,7,9,58442.5328767287,0.0682799407153045
2018,7,9,55501.9047831837,0.0539784258171418
2019,7,9,52950.5722428442,0.100051497707792
2021,7,9,54858.860608120594,0.0612186847017968
2022,7,9,67996.65037565389,0.0669477766554457
