Yr,Seas,FltSvy,Gender,Part,Nsamp,F6,F8,F10,F12,F14,F16,F18,F20,F22,F24,F26,F28,F30,F32,F34,F36,F38,F40,F42,F44,F46,F48,F50,F52,F54,F56,F58,F60,F62,F64,F66,F68,F70,F72,M6,M8,M10,M12,M14,M16,M18,M20,M22,M24,M26,M28,M30,M32,M34,M36,M38,M40,M42,M44,M46,M48,M50,M52,M54,M56,M58,M60,M62,M64,M66,M68,M70,M72
1989,7,5,3,0,352,3.2894371460443395e-4,1.6693139786004102e-4,0.00182370965361735,0.0039768390619471,0.00894352418839129,0.0181674360003745,0.0317652043243483,0.0497422242815365,0.0806784840978802,0.09114010019057471,0.0930236322177598,0.0674782092640579,0.024943549577197,0.016960198286573,0.010643780774009499,0.0023917841824566497,0.00222723298513644,6.309118230908011e-4,3.67820323421649e-4,4.3351385832094303e-4,0,3.67820323421649e-4,0,0,0,0,0,0,0,0,0,0,0,0,3.2894371460443395e-4,6.05840377404598e-4,0.00291780850175897,0.00596525859292065,0.0161760015487172,0.0345808228829306,0.036711578406186,0.0739909139811393,0.0951650193034264,0.0902034119381338,0.067630066058499,0.0400390987608676,0.0176487109627276,0.00657157501043321,0.00314614907354661,5.87750853301894e-4,9.712805002864169e-4,1.24405148215088e-4,4.3351385832094303e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,7,5,3,0,158,3.39394925041817e-4,0.00216404550817386,0.0102039121400994,0.0163241769425153,0.0350119705507346,0.041535344299913096,0.0494026624527816,0.062209428733139595,0.062479159688907,0.0732031964109916,0.0569697561686701,0.031615294241021,0.0199152182056495,0.0131087261187079,0.00881410355734969,0.00206487971561234,0.004487500027890379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39394925041817e-4,0.00216404550817386,0.0115446336555313,0.0179403314467868,0.0372704714763233,0.0513403620394338,0.0617321933564373,0.0689819565361289,0.0623879271597504,0.068088720659631,0.0514581214181006,0.040208010166477105,0.0198371251440073,0.00766873865326408,0.00771460283232378,7.37297667694933e-4,0,7.37297667694933e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,7,5,3,0,428,2.49840145631676e-4,0.00517576355336577,0.0104758406312169,0.0232308010556714,0.032000565649643,0.0414550944254223,0.06298940868412001,0.0711766558148431,0.08292809646821929,0.0682403264639521,0.0445028553695904,0.032867236564073504,0.0198040340547427,0.0114574091293842,0.0056186593675988505,0.00224856131068509,0.00194124348993121,3.3146422095596805e-4,3.96798141119997e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49840145631676e-4,0.00517576355336577,0.0104758406312169,0.0231077583943545,0.0366394472808121,0.0492722315415645,0.0700911076028869,0.0745986859621436,0.080596871285072,0.0564184684377377,0.039313401153909106,0.0220716583129557,0.00770212399939022,0.00323983458213932,0.00145404076432253,0.00133943201312409,0,8.48532231025132e-4,3.1430756818079804e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,7,5,3,0,573,3.03222847616504e-4,0.00241601294896598,0.00708036602394131,0.0178642144763539,0.022837877362317197,0.041681274526242394,0.0770870944202597,0.0958324863588082,0.0882283345792,0.07271496673807,0.0417287426103497,0.0277966041700916,0.011343030667349102,0.00563918793156698,0.00454824041234215,0.00180419640369928,7.19540451656774e-4,1.59795576240546e-4,1.50383800943408e-4,3.1954000152839004e-4,2.96266318049054e-4,5.57443082544645e-4,0,0,0,0,1.50383800943408e-4,0,0,0,0,0,0,0,3.03222847616504e-4,0.00241601294896598,0.00782098066811124,0.0181068234450187,0.0279223843627855,0.0602740320219286,0.07846980697369581,0.0946922804721315,0.0738867839135164,0.049053405584395,0.037002701486416004,0.0162274351408477,0.00610179714780242,0.00357708842434503,0.00167892772053247,4.50844497114012e-4,4.4133041991147005e-4,1.59795576240546e-4,1.55140839544679e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,7,5,3,0,718,0,0.00200337646774616,0.00552295921465363,0.0175015072849459,0.0239715757914437,0.0498394720513779,0.048576472828047695,0.08273499679299089,0.08618489038156961,0.0828361675148005,0.0483494692694166,0.0383937751327037,0.0170124687543147,0.0074290417703363,0.0033846417426101,0.00377577915001273,7.63311143034849e-4,8.86621718093716e-4,0.00175792303140739,1.22236278382218e-4,3.8599946677518e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00174708664753858,0.004199052040612519,0.0166611270324992,0.0233314818063654,0.0471727874486276,0.07465479111095169,0.0912881732640627,0.07422390472651301,0.059808758376478005,0.0403765531293889,0.0265843120176058,0.0093630093310606791,0.00278812683576283,0.00217465672484497,0.00104664521436329,0.00132152503793201,1.3269899384175802e-4,8.852671701101141e-4,1.24057911877405e-4,2.4989074869884e-4,4.33408646201222e-4,0,0,0,0,0,0,0,0,0,0,0,0
2004,7,5,3,0,504,2.76128109492796e-4,0.00416848820270347,0.00858838427924306,0.0184073439409472,0.0246482289951337,0.0275217768864361,0.0242253693623759,0.0632632885626957,0.0638158012156612,0.083005884236675,0.0630421398984809,0.057318482181633594,0.0398375829230561,0.0220560917533089,0.0156040076733253,0.00595624333656303,0.00425347042362278,0.0013565870401548899,6.4529046687191e-4,0.00111471851036886,1.87504526059744e-4,7.416070697001919e-4,0,0,1.67041094468432e-4,6.501114256929209e-4,0,0,0,0,0,0,0,0,2.76128109492796e-4,0.00416848820270347,0.00858838427924306,0.0182355844612496,0.024609045883013998,0.0362687912256088,0.040960712467963706,0.0507935708513752,0.0717591001752162,0.0826571340240912,0.0577448806033132,0.0282791802892945,0.020355370312207303,0.0118380695321762,0.00461119582550098,0.0024268911852152898,0.00331661452167165,7.50530972198659e-4,4.21936470430393e-4,0,2.10275863469626e-4,4.29783350213527e-5,0,0,0,8.33564294871177e-4,0,0,0,0,0,0,0,0
1995,7,6,3,0,456,4.02743828971917e-4,0.00680131759348748,0.0202487265509147,0.0438164405817197,0.054103982853703506,0.043006207445537493,0.045453794211125303,0.06268979662942101,0.0609384860674232,0.045544645573812305,0.0322907866736367,0.015088035330445499,0.00602613554139672,0.00633812618999003,0.00558146786674684,0.010556103612837299,0.00144125083213597,0.0017943798679402102,6.76574287041804e-4,0.00106465622462908,2.4251030169688802e-4,3.7963825906665296e-4,4.33409436622387e-4,4.32722160463732e-4,3.66514557179953e-4,0,0,7.412764282637669e-4,0,2.99259675940127e-4,0,0,0,0,4.02743828971917e-4,0.00680131759348748,0.0202487265509147,0.0436923381439283,0.05463737460769211,0.0625141157522943,0.0693480625995998,0.082744449484106,0.0563580522894756,0.0445581424666531,0.0410876596849336,0.018618572957457,0.013670413707192798,0.00753712853991813,0.00337959869159638,0.0015294185450605898,0.0016495609630807402,0.00152702944222336,5.47202732034004e-4,4.75824193842248e-4,2.99259675940127e-4,4.49838609557858e-4,0,2.99259675940127e-4,3.7031093977061896e-4,0,3.1922341197725303e-4,1.7538633020156897e-4,0,0,0,0,0,0
1998,7,6,3,0,442,0.00156951179626136,0.00855077961581424,0.017289090337962002,0.0332310416012248,0.0442269124705496,0.052638115483016994,0.0575678888242304,0.0510289708240769,0.053195749440621894,0.046772241664133095,0.0216765701191079,0.013553178181533301,0.012258448629379599,0.0104122633071224,0.00687766760056765,0.00672237234330582,0.00245744762851323,0.00249897177308013,0.00109433772898065,0.00145094943611641,0.0013255784611740401,1.61137216871949e-4,5.09385255213361e-4,0.00114956316011517,1.53319918400853e-4,7.25789931706231e-4,3.17651300239487e-4,1.4810838608678902e-4,0,0,1.4810838608678902e-4,0,0,0,0.00156951179626136,0.00808476775856955,0.017432743704489998,0.0366022305526418,0.0587985249346184,0.0780985102330538,0.067012067975529,0.0709502212085325,0.075773200165794,0.0500462187264982,0.0301710315631411,0.0191118657932923,0.0193022968651877,0.00594085263862823,0.00356145190936675,0.00248224443549144,6.01805896815191e-4,0.00190141075339172,4.78578374679417e-4,0.0013335638735907502,1.53319918400853e-4,2.90879154400303e-4,0,1.4810838608678902e-4,0,0,2.9533417395909904e-4,0,0,0,0,0,1.4810838608678902e-4,0
2001,7,6,3,0,594,3.48963276565038e-4,0.00114770065299535,0.00289059750674501,0.0114183542526456,0.030206065000942,0.0562126624934683,0.0834833409759028,0.0656846498103576,0.0619861438438214,0.045050672012910596,0.0430633906703778,0.0213327219277759,0.0165271097935084,0.00854449930505938,0.00554960738521038,0.005526004286948269,0.00404171065587465,0.00393727405543173,0.00217144949327987,0.00169135394338811,0.00144238391292447,0.00116874437915676,8.18039307689847e-4,7.49327276152695e-4,0,3.94640959195788e-4,1.5185607797553702e-4,5.78844656777537e-4,0,0,0,0,0,0,3.48963276565038e-4,0.00114770065299535,0.00390314909408892,0.0124260359236312,0.029900611050089,0.0507450261091501,0.0774372154031544,0.07378093907628,0.0782972710694976,0.073146285888973,0.0474490169522855,0.0316994230748723,0.0154388789950199,0.0107349308080862,0.00378172110664406,0.00364319509169306,0.00311628436045912,0.00165744226305369,0.0022406591805032698,9.240755156957051e-4,8.24473284776357e-4,2.73248518585663e-4,5.0952832904994e-4,2.73284065420395e-4,0,0,1.8253299634933998e-4,0,0,0,0,0,0,0
2004,7,6,3,0,442,0.00451576389630081,0.0110019836099503,0.015505259405330001,0.023437934221675796,0.0241562830882641,0.0237260596861291,0.0315383825111972,0.0554538950137011,0.0774969583148856,0.0812443210361061,0.048355158926069904,0.0272047117771284,0.012899941838751301,0.0104558706312668,0.00474487892120125,0.00516990727335304,0.00349280527204329,0.00229531294931146,0.00132796800115623,9.853944166866339e-4,0.00117927634618814,0.00100694055347596,8.83824529194433e-4,1.7150325265076602e-4,4.90299492966452e-4,5.0498549964975e-4,0,0,4.6535659272656395e-4,0,0,0,0,1.7150325265076602e-4,0.00451576389630081,0.0110019836099503,0.015505259405330001,0.023437934221675796,0.023479461319939002,0.025796720025269303,0.044140374912770605,0.0693408963492619,0.0869642708772325,0.0909158723263184,0.059090396700344,0.0353499507219538,0.0183981363091201,0.00822289828175387,0.00641522069721234,0.0010037769012426,0.0015247804716739099,9.31645630321908e-4,0.00107524214011416,4.30523116557107e-4,4.38781913966309e-4,5.85775187209121e-4,5.68724766751414e-4,0,3.03377598378345e-5,8.23681835158067e-4,0,1.29110312723693e-4,0,0,0,0,0,0
