Yr,Seas,FltSvy,Gender,Part,Nsamp,F6,F8,F10,F12,F14,F16,F18,F20,F22,F24,F26,F28,F30,F32,F34,F36,F38,F40,F42,F44,F46,F48,F50,F52,F54,F56,F58,F60,F62,F64,F66,F68,F70,F72,M6,M8,M10,M12,M14,M16,M18,M20,M22,M24,M26,M28,M30,M32,M34,M36,M38,M40,M42,M44,M46,M48,M50,M52,M54,M56,M58,M60,M62,M64,M66,M68,M70,M72
1989,7,5,3,0,352,3.28969754418564e-4,1.6690575029985202e-4,0.00182372439489605,0.00397682202305909,0.008943377661312861,0.0180917225776273,0.0319189427132661,0.0489076886122399,0.0796788684946769,0.08954997852147599,0.0916287015485787,0.0657580412662027,0.0238228706336528,0.016713976803194,0.0104373253440935,0.0023916881205336598,0.00223755920043404,6.22702356074388e-4,3.6783821681716e-4,4.33605269110977e-4,0,3.6783821681716e-4,0,0,0,0,0,0,0,0,0,0,0,0,3.28969754418564e-4,6.05756244440398e-4,0.00291769004593472,0.00596530028106337,0.0161760050052896,0.034656412206902895,0.0365578735265961,0.07482542142693249,0.09616461076261,0.0917938588905354,0.0690250095019269,0.0417592538546352,0.018769298057088,0.00681771659484295,0.00335264024454046,5.87734189210599e-4,9.61086616956279e-4,1.3261004818344402e-4,4.33605269110977e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,7,5,3,0,158,3.39562783498678e-4,0.00216387224286472,0.0102039036692322,0.0163242286661171,0.0350121589111802,0.0414978921261988,0.0494181520262085,0.062209330790254605,0.062479342038271796,0.0731621216874505,0.056969641700327006,0.0316152703232844,0.0199150630765187,0.0131086783716368,0.008813923587026939,0.0020649031395058802,0.00448743985420653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39562783498678e-4,0.00216387224286472,0.0115447143879854,0.017940093644523602,0.0372705876222221,0.051377782297810405,0.061716586528308796,0.06898209541756241,0.0623879374523672,0.0681300365765431,0.051458260358503496,0.040207931774776606,0.0198368963961588,0.00766873969465825,0.00771475717583784,7.373303262975619e-4,0,7.373303262975619e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,7,5,3,0,884,8.674193295297159e-4,0.00640065492135865,0.0184478066467832,0.0376572047150007,0.0438821457792109,0.0441940223000843,0.0527557922411257,0.06595809232026249,0.0688454153743244,0.054312381985555,0.032640068156094604,0.0210937191845502,0.011662639362636699,0.007542655349826331,0.00427013245976112,0.0049094825500822096,0.00234883817456268,0.00105166215125665,4.36996646075984e-4,4.0154880840697206e-4,9.14769047240323e-5,6.29811399457429e-4,1.6344675696111698e-4,1.63210438043324e-4,1.41490581144311e-4,0,0,2.7958676328759e-4,0,1.12874508553327e-4,0,0,0,0,8.674193295297159e-4,0.00640065492135865,0.0184935021320693,0.0376626185665719,0.0481838160727285,0.0631890361427872,0.07052239886560051,0.0793434321429992,0.0706947612908238,0.049305965712101496,0.0361756140016639,0.0184038728116116,0.00829694236834695,0.00474027820494212,0.00215913853418852,0.00107931146463848,8.85272149592109e-4,0.00112517881822839,3.12370642246931e-4,1.79473476295107e-4,1.12874508553327e-4,1.6965549943769e-4,0,1.12874508553327e-4,1.36420466180743e-4,0,1.20393746846754e-4,6.61478134441746e-5,0,0,0,0,0,0
1998,7,5,3,0,1015,0.00102960491448954,0.00576549257803319,0.014345986699909198,0.0297092966989414,0.0398004525533317,0.047483697480540696,0.0625838859676208,0.0702762326548106,0.0677172555543778,0.05776610550668,0.029361217746358102,0.0183954173214557,0.010731251526561,0.00720396237631975,0.00573215018134393,0.00381345309252457,0.00159672520980133,0.00105926052232581,8.6796226571609e-4,7.90816208967192e-4,6.17767557179791e-4,4.0063873616878097e-4,1.91736062786014e-4,4.32736841620159e-4,5.77212879796858e-5,2.73214096437179e-4,1.9719711877451098e-4,5.5739638971201595e-5,0,0,5.5739638971201595e-5,0,0,0,0.00102960491448954,0.00559007055592167,0.0146969689987142,0.0316294224184413,0.0501274476821619,0.0679142452912794,0.0711423054412395,0.082323921268624,0.0765733141005848,0.0518686719725703,0.0311540340382781,0.0159310293975326,0.011158135590877001,0.00461447709812849,0.00229742247374315,0.00121949758284906,5.19975482854128e-4,7.798249696992041e-4,2.42360282223687e-4,5.02025429626114e-4,5.77212879796858e-5,1.09474586503588e-4,0,5.5739638971201595e-5,0,0,9.3851818739026e-5,0,0,0,0,0,5.5739638971201595e-5,0
2001,7,5,3,0,1312,3.04233699190736e-4,0.00196416367252241,0.00589519989023396,0.0150633269332542,0.0311950626448853,0.054064268654987604,0.06908643752291779,0.0745844620827753,0.0739295658668269,0.061270226931712905,0.042999615760061595,0.0274861539858457,0.0145963508839303,0.00761657297537072,0.00424114964052,0.00473147659221131,0.00249860955035948,0.00236568579857335,0.00168920259734271,0.001066287878072,7.73309649806601e-4,5.00553470983543e-4,3.5034753156393104e-4,3.20927914462453e-4,5.30015086110862e-5,1.69021054996289e-4,6.503394301447471e-5,2.47914346538227e-4,0,0,0,0,0,0,1.49449974954477e-4,0.0017601792610136599,0.0055548058907943,0.0146623087835133,0.029198119513194197,0.0502398654248858,0.073483693825488,0.0836709869615869,0.0766248731712117,0.0667383488971717,0.0435509658432996,0.026968780305513,0.0118864282665529,0.00605036159670279,0.00264675758651289,0.0020834170668973502,0.00186721122986893,7.633141196564911e-4,0.00131636512294103,4.45767046274223e-4,4.53830667235656e-4,3.4257789678338404e-4,2.18221742268783e-4,1.17027499005382e-4,0,0,7.817932510264421e-5,0,0,0,0,0,0,0
2004,7,5,3,0,946,0.00319224236474977,0.00947493390284971,0.013158297214704899,0.0231160754833846,0.0256161285257607,0.026277532469104997,0.0284360780031438,0.0594611932452324,0.0720489099534451,0.08219941432896491,0.051765045549333,0.0373127333166619,0.022812316192292702,0.014107848802449901,0.00886840062796042,0.00517087078677948,0.00349070289216812,0.00173389998574808,9.528797368292389e-4,0.00110093857964363,6.91225910796715e-4,8.639612274135e-4,4.6550295744363595e-4,9.03417310636145e-5,3.24976241504161e-4,5.19891920110146e-4,0,0,2.45100663481847e-4,0,0,0,0,9.03417310636145e-5,0.00319224236474977,0.00947493390284971,0.013158297214704899,0.0230493811273934,0.0252444049270532,0.031335202395584204,0.0430718106626496,0.0612485406777876,0.0811405155272278,0.0853046431117353,0.05823422291474,0.0320705481774651,0.0180725063990782,0.00936690043191712,0.00515510587006455,0.00147382265138705,0.0021564216494258702,7.838447964969301e-4,8.653844490613751e-4,2.15738506100289e-4,3.1542970860456396e-4,3.44704283115483e-4,2.99533417583676e-4,0,1.40789464551391e-5,7.559934436338871e-4,0,6.80080990507965e-5,0,0,0,0,0,0
1997,7,6,3,0,1181,2.6439952840359796e-4,0.0032156297880857098,0.0158969803779761,0.0249665816194241,0.0376646248282062,0.041554278425774804,0.046021921690086204,0.0729720517225439,0.05858843572813251,0.047824146788329004,0.027436243235949398,0.0164122489220042,0.0128635559930095,0.00981012213070014,0.0076583734011639705,0.00441724558613704,0.00371706863148076,0.00308384785519733,0.00247327766283032,0.0018116288820004501,0.0024608200995968497,0.0027509755755054997,0.00295613590880635,0.00249039327144674,0.00257567728508605,0.00275296156384707,0.00292683097434285,0.0016343755537070901,0.0011090481076891801,7.558465291554931e-4,5.429382621169e-4,3.2353555528081895e-4,4.57447912026515e-5,4.47027921247381e-5,2.6439952840359796e-4,0.00284043790227903,0.0147878497357065,0.0231552931925679,0.048343903150168004,0.0648189866799349,0.0850502705491284,0.0755939174222024,0.0689284453404192,0.0517768413301114,0.0300187863664449,0.0215464982003825,0.009167755491222949,0.006732954418106269,0.0038186171158758196,0.00468126855051743,0.00394198052156046,0.00365169092695861,0.00300329926311012,0.00316824978050831,0.00390932777817833,0.0025635704938194097,0.00276766303598595,0.00147835940464031,8.90991746196344e-4,6.377447029731851e-4,2.64229300831463e-4,8.41594799809719e-5,0,8.98595244418345e-5,0,0,0,0
1999,7,6,3,0,1299,1.72679345217548e-4,0.00176929660654058,0.0110110036464686,0.025331411455038203,0.034806559356744204,0.041612093453864206,0.0597343927190975,0.0776078189933263,0.07675964504587479,0.0483309264993804,0.0315822512250549,0.0187389862897495,0.0122754712426957,0.00956288075264767,0.00605494743196709,0.0057817399271113,0.00401495054311624,0.00434088947403376,0.00439763843761375,0.00297493668689851,0.00202300459927296,0.00284798050750611,0.00216516860368799,0.0027238655146960998,0.00201609602979366,0.0020890547105069097,0.00225520929566067,0.00187741123280761,0.00115376599480878,6.03089205223612e-4,4.5442536343412e-4,3.10347296479375e-4,3.63522346410986e-5,7.76590999188697e-5,2.10965580549823e-4,0.00176929660654058,0.0115887215539652,0.0273874535712728,0.0492406893966777,0.058979977928865106,0.0606755532203993,0.0695602826121315,0.069776860782316,0.0417441438309535,0.0298596198619957,0.0189975392532855,0.015708506897434,0.00794126104939954,0.007382977855034129,0.005216184292002521,0.00471977416614115,0.0034126788021023,0.00351746375707627,0.0036701351673083097,0.00308833990783908,0.00265671382059424,0.0021755264733690797,0.00111761314168224,0.00102593752129021,5.23366506629106e-4,3.7363597373674904e-4,7.5126954684031e-5,1.09704693845597e-4,0,0,0,0,0
2000,7,6,3,0,1354,0.00112382589692048,0.00397517735409437,0.00313154391982316,0.014875311502882101,0.0230827917485143,0.0368788169205374,0.057342247671872994,0.0768916876543961,0.0812940769926898,0.0572154478523444,0.0319668629804965,0.0212727730166771,0.0143773928069665,0.007907610217957139,0.006342231809346081,0.00590793590173747,0.00314218185242589,0.00365542896991361,0.00333809008349111,0.00266731803422732,0.00307730210945505,0.00185373103700165,0.00233946972174919,0.00158799957673156,0.00246135015002135,0.00232055918017642,0.00212275146171178,0.0020111997471633698,0.0010071098255102,6.06611139790827e-4,7.264475107980641e-4,4.9191101483829e-4,8.72639771451106e-5,1.68082547786866e-4,0.00112382589692048,0.00397517735409437,0.00322021745315685,0.017100257796181,0.040093793716070004,0.0536005225397472,0.07469420160388221,0.0772358763775048,0.076904317438479,0.0639368623239084,0.0309982729924818,0.0199184224375644,0.0117854197676401,0.010457256413330101,0.00627925958543386,0.00486888416761189,0.0042786576125772606,0.00473071151866427,0.00283046111160974,0.0028027960615152805,0.0032648774941062705,0.00265820210104189,0.00202328739425066,0.00165557394136206,0.00116476727966298,6.238591279103971e-4,2.88115694444361e-4,1.1481658401085399e-4,6.38677539123718e-5,2.74361478074273e-5,0,0,0,2.94601259243687e-5
2001,7,6,3,0,1354,5.11849645043483e-4,0.0032551537644380703,0.0107093351172855,0.012530981297250901,0.0224200626091743,0.0432525239238851,0.0468033765300871,0.0724949307903022,0.0695659668982367,0.057840600763987206,0.040343170697511,0.0280931629035285,0.016119815480108098,0.00975655326546367,0.00845912826897746,0.00776927845477248,0.00603224336756363,0.0039899902029899795,0.00270578203225381,0.0014703577765687302,0.00243921742658892,0.00256402518224481,0.0022214454055886203,0.00270876437929087,0.0020006520242905903,0.0022528987632935097,0.00204438155468295,0.0018834475196565302,0.0013875716374496599,6.90131576643076e-4,5.0858120076158e-4,3.08603561428668e-4,1.39949235598446e-4,6.36046192949045e-5,5.11849645043483e-4,0.0032551537644380703,0.010490366689624999,0.0136648236917926,0.029002163207277,0.053161766421955796,0.06851371423615381,0.0711840418840818,0.078279192868695,0.059537426183876495,0.042633405151255493,0.0245780421092837,0.0142690697424976,0.00833561662053681,0.00546737036647739,0.00437439219507296,0.00517396030267216,0.0033895110993420103,0.0036836537454863,0.0030231288988769,0.00324045443478299,0.0026730542413673803,0.00250313848677584,0.0014849053879879201,0.00109897754393249,4.76585992214202e-4,2.13450218680597e-4,2.2198111834476698e-4,9.89983163263838e-5,9.097025424404459e-5,0,3.12973046622511e-5,0,0
