Year,Ntrawl,STrawl,NOther,SOther
1901,0,2,0,0
1902,0,2,0,0
1903,0,4,0,0
1904,0,5,0,0
1905,0,6,0,0
1906,0,8,0,0
1907,0,9,0,0
1908,0,10,0,0
1909,0,11,0,0
1910,0,13,0,0
1911,0,14,0,0
1912,0,15,0,0
1913,0,17,0,0
1914,0,17,0,0
1915,0,19,0,0
1916,0,20,0,0
1917,0,21,0,0
1918,0,23,0,0
1919,0,24,0,0
1920,0,25,0,0
1921,0,26,0,0
1922,0,28,0,0
1923,0,29,0,0
1924,0,30,0,0
1925,0,32,0,0
1926,0,32,0,0
1927,0,34,0,0
1928,0,35,0,0
1929,0,36,0,0
1930,0,38,0,0
1931,0,39,0,0
1932,0,40,0,0
1933,0,49,0,0
1934,0,49,0,0
1935,0,49,0,0
1936,0,51,0,0
1937,0,47,0,0
1938,0,53,0,0
1939,0,63,0,0
1940,0,76,0,0
1941,0,109,0,0
1942,0,122,0,0
1943,0,269,0,0
1944,0,380,0,0
1945,0,453,0,0
1946,0,216,0,0
1947,0,48,0,0
1948,0,152,0,0
1949,0,168,0,0
1950,0,153,0,0
1951,0,305,0,0
1952,0,176,0,0
1953,0,68,0,0
1954,0,128,0,0
1955,0,128,0,0
1956,0,776,0,0
1957,0,286,0,0
1958,0,296,0,0
1959,0,398,0,0
1960,0,472,0,0
1961,0,437,0,0
1962,0,230,0,0
1963,0,285,0,0
1964,12,172,0,0
1965,20,400,0,0
1966,612,543,0,0
1967,369,864,0,0
1968,168,1835,0,0
1969,155,400,0,0
1970,149,557,0,0
1971,260,582,0,0
1972,389,1297,0,0
1973,712,2377,0,0
1974,215,1244,0,0
1975,405,1867,0,0
1976,52,992,0,0
1977,91,1359,0,0
1978,76,1136,0,0
1979,109,1720,0,0
1980,87,1192,0,0
1981,242.3,1622.8,0,0.5
1982,553.7,1655.4,0,0.5
1983,1492.8,1562.1,0,0.5
1984,1681.4,1961.2,0,0.5
1985,1345.9,2559.9,0,1.7
1986,457.7,2422.3,0,2.6
1987,558.3,1953,4.2,3.2
1988,696.4,2163.1,23.1,2.1
1989,1340.4,3506.4,29.3,9.9
1990,1917.7,2227.5,27,3.3
1991,2157,1306.4,53.8,1.5
1992,1669.2,1625.1,51.9,9.3
1993,2037.1,1773.9,24.4,1.1
1994,1835.3,1537.8,20.3,2.9
1995,815,1064.2,28.1,32.4
1996,686.2,830.9,21.2,80.6
1997,579.5,771.3,23,40.2
1998,504.7,668.9,17,47.3
1999,318.9,398.1,17.6,99.3
2000,281.9,489.8,13.9,53.3
2001,236.2,241.2,12.6,45.6
2002,231.4,428.2,10.4,104.1
2003,270.2,374.4,10.7,155.2
2004,294.6,319.4,10.5,128.8
2005,254.7,252.4,10.7,138.9
2006,295.7,246.8,15.4,143.7
2007,562.4,278.9,16.2,142.5
2008,902,325.3,19.8,175.4
2009,947.7,382.1,28.5,172.2
2010,770.3,356.7,22.2,206.1
2011,424.3,286.5,24.3,237
2012,380.5,322.5,35.7,155.1
