"Year","Fleet","round_mtons"
1892,"NOther",0.832
1892,"NTrawl",0
1893,"NOther",0.832
1893,"NTrawl",0
1894,"NOther",0.832
1894,"NTrawl",0
1895,"NOther",0.214
1895,"NTrawl",0
1896,"NOther",0.051
1896,"NTrawl",0
1897,"NOther",0.052
1897,"NTrawl",0
1898,"NOther",0.03
1898,"NTrawl",0
1899,"NOther",0.05
1899,"NTrawl",0
1900,"NOther",0.071
1900,"NTrawl",0
1901,"NOther",0.091
1901,"NTrawl",0
1902,"NOther",0.112
1902,"NTrawl",0
1903,"NOther",0.132
1903,"NTrawl",0
1904,"NOther",0.153
1904,"NTrawl",0
1905,"NOther",0.173
1905,"NTrawl",0
1906,"NOther",0.194
1906,"NTrawl",0
1907,"NOther",0.215
1907,"NTrawl",0
1908,"NOther",0.235
1908,"NTrawl",0
1909,"NOther",0.256
1909,"NTrawl",0
1910,"NOther",0.276
1910,"NTrawl",0
1911,"NOther",0.297
1911,"NTrawl",0
1912,"NOther",0.317
1912,"NTrawl",0
1913,"NOther",0.338
1913,"NTrawl",0
1914,"NOther",0.358
1914,"NTrawl",0
1915,"NOther",0.379
1915,"NTrawl",0
1916,"NOther",0.399
1916,"NTrawl",0
1917,"NOther",0.42
1917,"NTrawl",0
1918,"NOther",0.44
1918,"NTrawl",0
1919,"NOther",0.461
1919,"NTrawl",0
1920,"NOther",0.481
1920,"NTrawl",0
1921,"NOther",0.502
1921,"NTrawl",0
1922,"NOther",0.523
1922,"NTrawl",0
1923,"NOther",0.543
1923,"NTrawl",0
1924,"NOther",0.564
1924,"NTrawl",0
1925,"NOther",0.584
1925,"NTrawl",0
1926,"NOther",0.605
1926,"NTrawl",0
1927,"NOther",0.627
1927,"NTrawl",0
1928,"NOther",1.046
1928,"NTrawl",0
1929,"NOther",1.656
1929,"NTrawl",0
1930,"NOther",1.388
1930,"NTrawl",0
1931,"NOther",1.133
1931,"NTrawl",0
1932,"NOther",0.417
1932,"NTrawl",0.002
1933,"NOther",0.619
1933,"NTrawl",0.001
1934,"NOther",0.706
1934,"NTrawl",0
1934,"STrawl",4.5699394
1935,"NOther",0.666
1935,"NTrawl",0.001
1935,"STrawl",6.327154808
1936,"NOther",1.454
1936,"NTrawl",0.003
1936,"STrawl",2.69660444
1937,"NOther",1.441
1937,"NTrawl",0.006
1937,"STrawl",5.42496032
1938,"NOther",1.339
1938,"NTrawl",0
1938,"STrawl",5.616829736
1939,"NOther",0.422
1939,"NTrawl",0.008
1939,"STrawl",5.808699152
1940,"NOther",1.596
1940,"NTrawl",0.187
1940,"STrawl",0.953450384
1941,"NOther",2.648
1941,"NTrawl",0.288
1941,"STrawl",1.963599768
1942,"NOther",3.773
1942,"NTrawl",0.687
1942,"STrawl",1.033736168
1943,"NOther",10.167
1943,"NTrawl",3.058
1943,"STrawl",1.434711496
1944,"NOther",1.825
1944,"NTrawl",5.342
1944,"STrawl",0.212281056
1945,"NOther",0.678
1945,"NTrawl",5.341
1945,"STrawl",0.992459296
1946,"NOther",0.994
1946,"NTrawl",4.073
1946,"STrawl",0.609627648
1947,"NOther",0.716
1947,"NTrawl",4.751
1947,"STrawl",0.042184056
1948,"NOther",1.025
1948,"NTrawl",13.376
1948,"STrawl",0.017236496
1949,"NOther",0.344
1949,"NTrawl",13.515
1949,"STrawl",0.019050864
1950,"NOther",0.82
1950,"NTrawl",6.926
1950,"STrawl",0.006350288
1951,"NOther",0.593
1951,"NTrawl",11.165
1952,"NOther",0.278
1952,"NTrawl",13.849
1953,"NOther",0.245
1953,"NTrawl",2.626
1953,"STrawl",2.958780616
1954,"NOther",0.381
1954,"NTrawl",112.452931976
1955,"NOther",0.281979024
1955,"NTrawl",62.92761176
1955,"STrawl",4.989512
1956,"NOther",0.483093848
1956,"NTrawl",133.041634856
1956,"STrawl",6.818394944
1957,"NOther",0.494
1957,"NTrawl",63.87958292
1958,"NOther",0.136
1958,"NTrawl",27.80210132
1958,"STrawl",9.513638608
1959,"NOther",0.238
1959,"NTrawl",28.811122784
1959,"STrawl",32.26399896
1960,"NOther",0.104
1960,"NTrawl",31.088835984
1960,"STrawl",149.612331688
1961,"NOther",0.377
1961,"NTrawl",28.547111712
1961,"STrawl",56.757513368
1962,"NOther",0.445
1962,"NTrawl",22.47407336
1962,"STrawl",113.685123736
1963,"NOther",0.269
1963,"NTrawl",7.77
1963,"STrawl",223.169985552
1964,"NOther",0.778628736
1964,"NTrawl",25.187776
1964,"STrawl",173.486239424
1965,"NOther",0.13
1965,"NTrawl",31.75138588
1965,"STrawl",307.583456752
1966,"NOther",0.126
1966,"NTrawl",623.084
1966,"STrawl",542.103490512
1967,"NOther",0.343
1967,"NTrawl",375.821
1967,"STrawl",867.400783248
1968,"NOther",0.255
1968,"NTrawl",207.453
1968,"STrawl",1834.261076912
1969,"NOther",0.925
1969,"NTrawl",215.726935445287
1969,"SOther",0.023133192
1969,"STrawl",430.425010136
1970,"NOther",0.16
1970,"NTrawl",179.789542610723
1970,"SOther",0.101151016
1970,"STrawl",599.245436096
1971,"NOther",0.042
1971,"NTrawl",347.5303625497
1971,"SOther",0.037648136
1971,"STrawl",607.821444656
1972,"NOther",0.064
1972,"NTrawl",390.425543836717
1972,"SOther",0.048987936
1972,"STrawl",1380.650589856
1973,"NOther",0.31
1973,"NTrawl",704.173409903686
1973,"SOther",0.127912944
1973,"STrawl",2321.087553904
1974,"NOther",1.016
1974,"NTrawl",219.174132274173
1974,"SOther",0.306628192
1974,"STrawl",1146.07955608
1975,"NOther",0.26
1975,"NTrawl",399.294694146691
1975,"SOther",0.27442316
1975,"STrawl",1872.543685896
1976,"NOther",0.114
1976,"NTrawl",103.828835129612
1976,"SOther",0.395985816
1976,"STrawl",1824.324330352
1977,"NOther",8.39
1977,"NTrawl",112.561
1977,"SOther",0.817826376
1977,"STrawl",1472.134196776
1978,"NOther",0.874
1978,"NTrawl",176.329522710751
1978,"SOther",2.085162424
1978,"STrawl",1013.531819544
1979,"NOther",2.907
1979,"NTrawl",65.9642564462103
1979,"SOther",3.652322784
1979,"STrawl",1715.68679244
1980,"NOther",0.711
1980,"NTrawl",179.968853812885
1980,"SOther",1.543573576
1980,"STrawl",1204.882779888
