"Year","Fleet","round_mtons"
1892,"NTrawl",0
1893,"NTrawl",0
1894,"NTrawl",0
1895,"NTrawl",0
1896,"NTrawl",0
1897,"NTrawl",0
1898,"NTrawl",0
1899,"NTrawl",0
1900,"NTrawl",0
1901,"NTrawl",0
1902,"NTrawl",0
1903,"NTrawl",0
1904,"NTrawl",0
1905,"NTrawl",0
1906,"NTrawl",0
1907,"NTrawl",0
1908,"NTrawl",0
1909,"NTrawl",0
1910,"NTrawl",0
1911,"NTrawl",0
1912,"NTrawl",0
1913,"NTrawl",0
1914,"NTrawl",0
1915,"NTrawl",0
1916,"NTrawl",0
1917,"NTrawl",0
1918,"NTrawl",0
1919,"NTrawl",0
1920,"NTrawl",0
1921,"NTrawl",0
1922,"NTrawl",0
1923,"NTrawl",0
1924,"NTrawl",0
1925,"NTrawl",0
1926,"NTrawl",0
1927,"NTrawl",0
1928,"NTrawl",0
1929,"NTrawl",0
1930,"NTrawl",0
1931,"NTrawl",0
1932,"NTrawl",0.002
1933,"NTrawl",0.001
1934,"NTrawl",0
1935,"NTrawl",0.001
1936,"NTrawl",0.003
1937,"NTrawl",0.006
1938,"NTrawl",0
1939,"NTrawl",0.008
1940,"NTrawl",0.187
1941,"NTrawl",0.288
1942,"NTrawl",0.687
1943,"NTrawl",3.058
1944,"NTrawl",5.342
1945,"NTrawl",5.341
1946,"NTrawl",4.073
1947,"NTrawl",4.751
1948,"NTrawl",13.376
1949,"NTrawl",13.515
1950,"NTrawl",6.926
1951,"NTrawl",11.165
1952,"NTrawl",13.849
1953,"NTrawl",2.626
1954,"NTrawl",33.708
1955,"NTrawl",51.801
1956,"NTrawl",122.272
1957,"NTrawl",60.87
1958,"NTrawl",13.362
1959,"NTrawl",13.819
1960,"NTrawl",24.783
1961,"NTrawl",20.729
1962,"NTrawl",21.644
1963,"NTrawl",7.77
1964,"NTrawl",23.827
1965,"NTrawl",30.724
1966,"NTrawl",19.084
1967,"NTrawl",21.821
1968,"NTrawl",63.453
1969,"NTrawl",169.894
1970,"NTrawl",127.415
1971,"NTrawl",167.611
1972,"NTrawl",71.745
1973,"NTrawl",58.21
1974,"NTrawl",25.831
1975,"NTrawl",139.789
1976,"NTrawl",51.789
1977,"NTrawl",112.561
1978,"NTrawl",167.25
1979,"NTrawl",47.114
1980,"NTrawl",167.803
1981,"NTrawl",60.336
1982,"NTrawl",178.492
1983,"NTrawl",362.656
1984,"NTrawl",786.554
1985,"NTrawl",899.893
1986,"NTrawl",587.689
1987,"NTrawl",577.292
1988,"NTrawl",831.34
1989,"NTrawl",1549.96
1990,"NTrawl",1963.877
1991,"NTrawl",2338.405
1992,"NTrawl",1619.793
1993,"NTrawl",1433.496
1994,"NTrawl",1415.845
1995,"NTrawl",778.347
1996,"NTrawl",681.749
1997,"NTrawl",578.211
1998,"NTrawl",509.63
1999,"NTrawl",331.87
2000,"NTrawl",304.229
2001,"NTrawl",242.562
2002,"NTrawl",265.561
