"Year","NOther","NTrawl","SOther","STrawl","Season"
1892,0.832,0,0,0,1
1893,0.832,0,0,0,1
1894,0.832,0,0,0,1
1895,0.214,0,0,0,1
1896,0.051,0,0,0,1
1897,0.052,0,0,0,1
1898,0.03,0,0,0,1
1899,0.05,0,0,0,1
1900,0.071,0,0,0,1
1901,0.091,0,0,0,1
1902,0.112,0,0,0,1
1903,0.132,0,0,0,1
1904,0.153,0,0,0,1
1905,0.173,0,0,0,1
1906,0.194,0,0,0,1
1907,0.215,0,0,0,1
1908,0.235,0,0,0,1
1909,0.256,0,0,0,1
1910,0.276,0,0,0,1
1911,0.297,0,0,0,1
1912,0.317,0,0,0,1
1913,0.338,0,0,0,1
1914,0.358,0,0,0,1
1915,0.379,0,0,0,1
1916,0.399,0,0,0,1
1917,0.42,0,0,0,1
1918,0.44,0,0,0,1
1919,0.461,0,0,0,1
1920,0.481,0,0,0,1
1921,0.502,0,0,0,1
1922,0.523,0,0,0,1
1923,0.543,0,0,0,1
1924,0.564,0,0,0,1
1925,0.584,0,0,0,1
1926,0.605,0,0,0,1
1927,0.627,0,0,0,1
1928,1.046,0,0,0,1
1929,1.656,0,0,0,1
1930,1.388,0,0,0,1
1931,1.133,0,0,0,1
1932,0.417,0.002,0,0,1
1933,0.619,0.001,0,0,1
1934,0.706,0,0,4.5699394,1
1935,0.666,0.001,0,6.327154808,1
1936,1.454,0.003,0,2.69660444,1
1937,1.441,0.006,0,5.42496032,1
1938,1.339,0,0,5.616829736,1
1939,0.422,0.008,0,5.808699152,1
1940,1.596,0.187,0,0.953450384,1
1941,2.648,0.288,0,1.963599768,1
1942,3.773,0.687,0,1.033736168,1
1943,10.167,3.058,0,1.434711496,1
1944,1.825,5.342,0,0.212281056,1
1945,0.678,5.341,0,0.992459296,1
1946,0.994,4.073,0,0.609627648,1
1947,0.716,4.751,0,0.042184056,1
1948,1.025,13.376,0,0.017236496,1
1949,0.344,13.515,0,0.019050864,1
1950,0.82,6.926,0,0.006350288,1
1951,0.593,11.165,0,0,1
1952,0.278,13.849,0,0,1
1953,0.245,2.626,0,2.958780616,1
1954,0.381,112.452931976,0,0,1
1955,0.281979024,62.92761176,0,4.989512,1
1956,0.483093848,133.041634856,0,6.818394944,1
1957,0.494,63.87958292,0,0,1
1958,0.136,27.80210132,0,9.513638608,1
1959,0.238,28.811122784,0,32.26399896,1
1960,0.104,31.088835984,0,149.612331688,1
1961,0.377,28.547111712,0,56.757513368,1
1962,0.445,22.47407336,0,113.685123736,1
1963,0.269,7.77,0,223.169985552,1
1964,0.778628736,25.187776,0,173.486239424,1
1965,0.13,31.75138588,0,307.583456752,1
1966,0.126,623.084,0,542.103490512,1
1967,0.343,375.821,0,867.400783248,1
1968,0.255,207.453,0,1834.261076912,1
1969,0.925,215.726935445287,0.023133192,430.425010136,1
1970,0.16,179.789542610723,0.101151016,599.245436096,1
1971,0.042,347.5303625497,0.037648136,607.821444656,1
1972,0.064,390.425543836717,0.048987936,1380.650589856,1
1973,0.31,704.173409903686,0.127912944,2321.087553904,1
1974,1.016,219.174132274173,0.306628192,1146.07955608,1
1975,0.26,399.294694146691,0.27442316,1872.543685896,1
1976,0.114,103.828835129612,0.395985816,1824.324330352,1
1977,8.39,112.561,0.817826376,1472.134196776,1
1978,0.874,176.329522710751,2.085162424,1013.531819544,1
1979,2.907,65.9642564462103,3.652322784,1715.68679244,1
1980,0.711,179.968853812885,1.543573576,1204.882779888,1
1981,2.227,132.481911765738,5.62682770562241,1613.54289115331,1
1982,2.202,293.645857601311,4.17947599788508,1655.95729452771,1
1983,2.284,480.906131715736,6.45290198422354,1424.79379183219,1
1984,0.663,1039.29040528406,2.09608391550174,1847.27664664958,1
1985,1.83,956.351275745579,12.8552357341798,2397.98719630738,1
1986,3.175,613.113810233413,18.1963928890761,2333.99340607078,1
1987,7.88592149163379,675.60786235984,40.9029746410193,1788.49088570261,1
1988,22.7577038105506,897.67416223279,47.6458296304722,1966.65103483525,1
1989,25.6590989708706,1723.23958468119,35.6531431254642,3129.93947412366,1
1990,26.9845820596724,2252.57125257882,31.7060157716073,1913.59196352149,1
1991,53.7437643636261,2483.1534750272,18.6592592772536,995.9580509031,1
1992,53.5902704744996,1841.67439633495,43.80624219626,1455.21013274051,1
1993,28.4620946599922,2211.14232964771,18.8968388465862,1572.02926546661,1
1994,20.6583594792291,2180.22901350959,71.51346695336,1188.39351538878,1
1995,25.6568913368039,953.791340903909,67.4434281590371,930.855864926538,1
1996,20.7335348849863,810.142432655835,107.925341341416,709.779313043872,1
1997,22.8691067317453,689.592308879694,65.8474908199612,663.897859123906,1
1998,15.9468426392178,582.08524513522,69.9988783487247,599.021152474494,1
1999,17.1218963543067,373.895539955346,56.745844459423,317.779021686348,1
2000,13.8013532674359,340.71769091022,57.8949907708818,444.93911009317,1
2001,12.6545830324466,276.613233037027,58.4281620616799,203.414082959924,1
2002,10.3821351520017,288.513057931475,106.760980656359,378.548115115461,1
2003,10.7816003448245,346.05012678266,158.001159219522,312.782578093317,1
2004,10.4981816797289,328.549373379145,152.479596782973,293.091950383347,1
2005,10.7359778427747,292.594080786606,140.712605948659,216.516585027518,1
2006,15.4684886613383,334.062923645494,147.553241831391,210.536097902125,1
2007,16.3536723577662,626.031830323727,145.793287319895,222.703063882928,1
2008,19.8560842254263,972.945065427034,178.956228802036,259.939329253548,1
2009,28.6652840348703,1022.69524086499,173.043209474661,308.737999641059,1
2010,23.1533381436502,834.860179037168,208.926548131785,285.998430904473,1
2011,24.2698535860981,483.466072260671,237.057028590801,232.989707503772,1
2012,36.645886932794,455.932707301529,156.115730591906,263.587162492469,1
2013,19.3102981044438,547.976715579576,147.13283304743,296.675491951656,1
2014,20.2924803520341,433.115755552123,128.414572711826,254.050485161947,1
2015,19.2781324179646,503.136645344504,114.987034756768,244.291008399433,1
2016,26.7057745692549,577.189091344858,144.137246026355,185.732961010735,1
2017,39.0472784915905,606.856166118635,202.286086427307,289.913161973624,1
2018,33.2824689515342,525.043543766171,152.402145890449,105.072301716654,1
2019,29.2991650425868,402.947181251628,117.415847947526,127.942642713786,1
2020,10.3105762382135,248.473252057629,74.928162704091,87.9897686072004,1
2021,13.8702493508844,226.000094414132,64.8714932444991,73.3862943853855,1
2022,11.010647346075,261.158534325299,55.2048885355263,97.6070271836365,1
2023,0.00136077711114113,3.82600084181301,0.466746549121409,0.00952543977798795,1
