Year,CA Fixed,OR Fixed,WA Fixed,CA Trawl,OR Trawl,WA Trawl
1890,0,0,2.12,0,0,0
1891,0,0,6.08,0,0,0
1892,0,0,6.75,0,0,0
1893,0,0,10.05,0,0,0
1894,0,0,12.25,0,0,0
1895,0,0,16.65,0,0,0
1896,0,0,18.68,0,0,0
1897,0,0,20.7,0,0,0
1898,0,0,22.73,0,0,0
1899,0,0,24.75,0,0,0
1900,0,0,49.89,0,0,0
1901,1.98,0.67,75.02,0,0,0
1902,3.97,1.33,100.16,0,0,0
1903,5.95,2,125.3,0,0,0
1904,7.94,2.67,150.44,0,0,0
1905,9.92,3.33,131.73,0,0,0
1906,11.91,4,127.56,0,0,0
1907,13.89,4.67,133.09,0,0,0
1908,15.88,5.33,75.6,0,0,0
1909,17.82,6,129.6,0,0,0
1910,19.76,6.67,183.6,0,0,0
1911,21.71,7.33,237.6,0,0,0
1912,23.65,8,291.6,0,0,0
1913,25.6,8.67,345.6,0,0,0
1914,27.54,9.33,399.6,0,0,0
1915,29,10,453.6,0,0,0
1916,37.93,16,1260.27,0,0,0
1917,412.7,227,1341.61,0,0,0
1918,226.31,162,2452.5,0,0,0
1919,151.93,195,677.58,0,0,0
1920,354.27,65,453.58,0,0,0
1921,463.86,65,639.44,0,0,0
1922,121.81,37,636.95,0,0,0
1923,244.16,162,1022.29,0,0,0
1924,423.34,104,1301.39,0,0,0
1925,327.71,226,1543.06,0,0,0
1926,79.67,251,1363.85,0,0,0
1927,450.26,217.87,1850.3,0,0,0
1928,415.92,181.54,1512.09,0,0,0
1929,652.9,98.46,1516.56,0,0,15.32
1930,616.5,123.42,1784.41,0,0,18.02
1931,463.21,41.5,883.55,0,0,8.93
1932,420.13,51,1165.56,0,0,11.77
1933,604.42,15.45,893.91,0,0,9.03
1934,958.7,66.42,1598.16,0,0,16.14
1935,1288.78,58.9,2028.13,0,0,7.19
1936,463.13,175.46,1698.15,0,0,15.57
1937,332.7,95.8,2099.61,0,0,0
1938,340.19,80.69,2032.33,0,0,21.89
1939,347.66,63.37,2279.36,0,0,53.24
1940,259.67,43.2,1756.54,0,0,120.08
1941,243.38,118.43,1474.54,0,0,303.74
1942,895.07,410.69,1698.42,0,0,224.57
1943,1453.28,724.37,1157.86,0,0,587.24
1944,1867.18,361.91,903.29,0,0,1352.11
1945,2841.47,262.85,748.07,0,0,564.7
1946,1205.13,658.86,2046.57,0,0,544.3
1947,409.19,185.64,1516.2,0,0,121.8
1948,916.23,324.8,1350.33,0,0,241.19
1949,745.56,256.02,1552.73,0,0,415.29
1950,832.51,204.5,1243.24,0,0,359.96
1951,1306.73,327.38,1703.23,0,0,927.5
1952,847.49,146.45,1185.17,0,0,461.86
1953,729.96,149.87,710.13,0,0,66.86
1954,1029.14,279.49,919.67,0,0,92.13
1955,911.77,156.36,974.51,0,0,144.81
1956,1274.28,282.43,523.86,0,0,1325.22
1957,969.4,305.81,1129.7,0,0,146.13
1958,767.6,127.67,494.15,0,0,142.74
1959,859.99,148.83,895.48,0,0,314.58
1960,1010.93,205.81,1283.56,0,0,366.96
1961,708.93,268.13,691.05,0,0,143.41
1962,883.84,183.42,661.41,0,0,898.12
1963,771.91,264.17,600.09,0,0,182.19
1964,1097.33,194.25,665.04,0,0,89.91
