Yr,Catch,SO,Depletion,State,Pstar,,,,
2023,756," 13,485 ",0.427,Low,0.400,,,,
2024,756," 13,334 ",0.422,Low,0.400,,,,
2025,699," 13,194 ",0.418,Low,0.400,,,,
2026,702," 13,068 ",0.414,Low,0.400,,,,
2027,704," 12,951 ",0.410,Low,0.400,,,,
2028,704," 12,844 ",0.407,Low,0.400,,,,
2029,704," 12,746 ",0.403,Low,0.400,,,,
2030,704," 12,656 ",0.401,Low,0.400,,,,
2031,703," 12,576 ",0.398,Low,0.400,,,,
2032,701," 12,504 ",0.396,Low,0.400,,,,
2033,698," 12,440 ",0.394,Low,0.400,,,,
2034,696," 12,384 ",0.392,Low,0.400,,,,
2023,756," 9,229 ",0.408,Base,0.400,,,,
2024,756," 9,200 ",0.407,Base,0.400,,,,
2025,699," 9,181 ",0.406,Base,0.400,,,,
2026,702," 9,175 ",0.406,Base,0.400,,,,
2027,704," 9,178 ",0.406,Base,0.400,,,,
2028,704," 9,190 ",0.406,Base,0.400,,,,
2029,704," 9,209 ",0.407,Base,0.400,,,,
2030,704," 9,236 ",0.408,Base,0.400,,,,
2031,703," 9,269 ",0.410,Base,0.400,,,,
2032,701," 9,309 ",0.412,Base,0.400,,,,
2033,698," 9,354 ",0.414,Base,0.400,,,,
2034,696," 9,404 ",0.416,Base,0.400,,,,
2023,756," 9,907 ",0.494,High,0.400,,,,
2024,756," 9,965 ",0.497,High,0.400,,,,
2025,699," 10,032 ",0.500,High,0.400,,,,
2026,702," 10,114 ",0.504,High,0.400,,,,
2027,704," 10,203 ",0.509,High,0.400,,,,
2028,704," 10,300 ",0.514,High,0.400,,,,
2029,704," 10,404 ",0.519,High,0.400,,,,
2030,704," 10,513 ",0.524,High,0.400,,,,
2031,703," 10,627 ",0.530,High,0.400,,,,
2032,701," 10,745 ",0.536,High,0.400,,,,
2033,698," 10,866 ",0.542,High,0.400,,,,
2034,696," 10,989 ",0.548,High,0.400,,,,
2023,756," 13,485 ",0.427,Low,0.450,,,,
2024,756," 13,334 ",0.422,Low,0.450,,,,
2025,490," 13,194 ",0.418,Low,0.450,,,,
2026,496," 13,082 ",0.414,Low,0.450,,,,
2027,501," 12,980 ",0.411,Low,0.450,,,,
2028,505," 12,888 ",0.408,Low,0.450,,,,
2029,509," 12,806 ",0.405,Low,0.450,,,,
2030,512," 12,734 ",0.403,Low,0.450,,,,
2031,515," 12,670 ",0.401,Low,0.450,,,,
2032,517," 12,615 ",0.399,Low,0.450,,,,
2033,518," 12,569 ",0.398,Low,0.450,,,,
2034,519," 12,532 ",0.397,Low,0.450,,,,
2023,756," 9,229 ",0.408,Base,0.450,,,,
2024,756," 9,200 ",0.407,Base,0.450,,,,
2025,699," 9,181 ",0.406,Base,0.450,,,,
2026,702," 9,189 ",0.406,Base,0.450,,,,
2027,704," 9,207 ",0.407,Base,0.450,,,,
2028,704," 9,233 ",0.408,Base,0.450,,,,
2029,704," 9,268 ",0.410,Base,0.450,,,,
2030,704," 9,310 ",0.412,Base,0.450,,,,
2031,703," 9,359 ",0.414,Base,0.450,,,,
2032,701," 9,415 ",0.416,Base,0.450,,,,
2033,698," 9,477 ",0.419,Base,0.450,,,,
2034,696," 9,544 ",0.422,Base,0.450,,,,
2023,756," 9,907 ",0.494,Low,0.450,,,,
2024,756," 9,965 ",0.497,Low,0.450,,,,
2025,699," 10,032 ",0.500,Low,0.450,,,,
2026,702," 10,128 ",0.505,Low,0.450,,,,
2027,704," 10,232 ",0.510,Low,0.450,,,,
2028,704," 10,343 ",0.516,Low,0.450,,,,
2029,704," 10,461 ",0.522,Low,0.450,,,,
2030,704," 10,586 ",0.528,Low,0.450,,,,
2031,703," 10,715 ",0.534,Low,0.450,,,,
2032,701," 10,848 ",0.541,Low,0.450,,,,
2033,698," 10,984 ",0.548,Low,0.450,,,,
2034,696," 11,122 ",0.555,Low,0.450,,,,
