"Year","Season","Fleet","Value","seLogB"
"2003",NA,9,5065.45964901949,0.105227420106877
"2004",NA,9,5295.24133678041,0.092892308558838
"2005",NA,9,4819.44777579212,0.0584263762290811
"2006",NA,9,4741.6571786709,0.069675651691948
"2007",NA,9,4887.45405462734,0.0809471669236504
"2008",NA,9,4353.00499861819,0.0620620457130562
"2009",NA,9,5726.52501808082,0.186795654782928
"2010",NA,9,4605.54848211901,0.0833550460597565
"2011",NA,9,4798.40931654676,0.0680070311077625
"2012",NA,9,5323.42327689216,0.0848219097967493
"2013",NA,9,4790.41216756228,0.0824450693019565
"2014",NA,9,4860.25402436253,0.0854936705415572
"2015",NA,9,4726.18320661442,0.0667888457370871
"2016",NA,9,5319.2352325102,0.0717352272121509
"2017",NA,9,5844.25328767287,0.0682799407153045
"2018",NA,9,5550.19047831837,0.0539784258171418
"2019",NA,9,5295.05722428442,0.100051497707792
"2021",NA,9,5485.88606081206,0.0612186847017968
