Label,23.model.francis_2,23.growth.high,23.growth.low
TOTAL_like,718.449,695.432,729.873
Survey_like,-47.0082,-52.5666,-43.9447
Length_comp_like,440.162,435.191,443.197
Parm_priors_like,1.87304,1.86524,1.89436
Recr_Virgin_millions,11.1691,7.23049,15.4433
SR_LN(R0),9.32091,8.88606,9.64493
SR_BH_steep,0.72,0.72,0.72
NatM_break_1_Fem_GP_1,0.04,0.04,0.04
NatM_break_2_Fem_GP_1,0.04,0.04,0.04
NatM_break_1_Mal_GP_1,0.04,0.04,0.04
NatM_break_2_Mal_GP_1,0.04,0.04,0.04
L_at_Amax_Fem_GP_1,73.6079,92.0099,66.2471
L_at_Amax_Mal_GP_1,66.0728,82.591,59.4656
VonBert_K_Fem_GP_1,0.00989856,0.00989856,0.00989856
VonBert_K_Mal_GP_1,0.0167854,0.0167854,0.0167854
SSB_Virgin_thousand_mt,19.597,29.633,17.236
Bratio_2021,0.380317,0.378074,0.416024
SPRratio_2020,0.730713,0.879136,0.58933
