"run","likelihood","gradient","SB0","SBfinal","Nparsonbounds","Lowest.NLL"
"1",536.263,4.66279e-05,20261.6,8210.73,1,"Best Fit"
"2",536.263,8.88253e-05,20261.6,8210.73,1,"Best Fit"
"3",536.263,0.000198427,20261.6,8210.73,1,"Best Fit"
"4",698.582,0.00118171,23137,10891.5,1,"0"
"5",536.263,5.49692e-05,20261.6,8210.73,1,"Best Fit"
"6",536.263,5.29969e-05,20261.6,8210.73,1,"Best Fit"
"7",536.263,6.72358e-05,20261.6,8210.73,1,"Best Fit"
"8",654.998,0.000167261,20087.8,7916.19,0,"0"
"9",536.263,6.11504e-05,20261.6,8210.73,1,"Best Fit"
"10",536.263,0.000321127,20261.6,8210.73,1,"Best Fit"
"11",546.32,0.000298637,19996.4,7970.97,2,"0"
"12",536.263,1.81579e-05,20261.6,8210.73,1,"Best Fit"
"13",536.263,0.000389235,20261.6,8210.73,1,"Best Fit"
"14",536.263,2.37756e-05,20261.6,8210.73,1,"Best Fit"
"15",536.263,4.64721e-05,20261.6,8210.73,1,"Best Fit"
"16",536.263,6.04743e-05,20261.6,8210.73,1,"Best Fit"
"17",536.263,0.000523646,20261.6,8210.73,1,"Best Fit"
"18",536.263,3.27553e-05,20261.6,8210.73,1,"Best Fit"
"19",536.263,6.72502e-05,20261.6,8210.73,1,"Best Fit"
"20",655.191,9.9064e-05,20074.4,7896.94,0,"0"
"21",654.891,2.88355e-05,20062.9,8042.08,0,"0"
"22",536.263,6.52274e-05,20261.6,8210.73,1,"Best Fit"
"23",536.263,0.00020482,20261.6,8210.73,1,"Best Fit"
"24",654.998,0.000372448,20087.8,7916.19,0,"0"
"25",536.263,1.66892e-05,20261.6,8210.73,1,"Best Fit"
"26",536.263,6.25978e-05,20261.6,8210.73,1,"Best Fit"
"27",536.263,6.94691e-05,20261.6,8210.73,1,"Best Fit"
"28",545.676,7.01171e-05,20036.6,8006.15,1,"0"
"29",536.263,2.76918e-05,20261.6,8210.73,1,"Best Fit"
"30",536.263,5.0468e-05,20261.6,8210.73,1,"Best Fit"
"31",654.891,3.04013e-05,20062.9,8042.08,0,"0"
"32",536.263,1.29162e-05,20261.6,8210.73,1,"Best Fit"
"33",536.263,1.51005e-05,20261.6,8210.73,1,"Best Fit"
"34",655.191,8.02079e-05,20074.4,7896.94,0,"0"
"35",536.263,1.20996e-05,20261.6,8210.73,1,"Best Fit"
"36",622.788,0.000221622,20141.9,8546.3,3,"0"
"37",536.263,8.63086e-05,20261.6,8210.73,1,"Best Fit"
"38",654.891,2.2763e-05,20062.9,8042.08,0,"0"
"39",536.263,3.99989e-05,20261.6,8210.73,1,"Best Fit"
"40",536.263,8.81662e-05,20261.6,8210.73,1,"Best Fit"
"41",536.263,6.86569e-05,20261.6,8210.73,1,"Best Fit"
"42",536.263,5.2723e-05,20261.6,8210.73,1,"Best Fit"
"43",536.263,2.69172e-05,20261.6,8210.73,1,"Best Fit"
"44",536.263,0.000138348,20261.6,8210.73,1,"Best Fit"
"45",536.263,3.92134e-06,20261.6,8210.73,1,"Best Fit"
"46",654.891,8.14859e-05,20062.9,8042.08,0,"0"
"47",536.263,4.1043e-05,20261.6,8210.73,1,"Best Fit"
"48",536.263,6.21259e-05,20261.6,8210.74,1,"Best Fit"
"49",536.263,6.33637e-05,20261.6,8210.73,1,"Best Fit"
"50",536.263,0.000132391,20261.6,8210.73,1,"Best Fit"
"51",536.263,5.15236e-05,20261.6,8210.74,1,"Best Fit"
"52",536.263,9.17231e-05,20261.6,8210.73,1,"Best Fit"
"53",536.263,6.23299e-05,20261.6,8210.73,1,"Best Fit"
"54",654.998,0.000214596,20087.8,7916.19,0,"0"
"55",655.191,4.15941e-05,20074.4,7896.94,0,"0"
"56",654.891,9.04665e-05,20062.9,8042.08,0,"0"
"57",536.263,7.46578e-05,20261.6,8210.73,1,"Best Fit"
"58",536.263,8.58832e-05,20261.6,8210.73,1,"Best Fit"
"59",536.263,2.01378e-05,20261.6,8210.73,1,"Best Fit"
"60",536.263,3.08406e-05,20261.6,8210.73,1,"Best Fit"
"61",536.263,0.000118564,20261.6,8210.73,1,"Best Fit"
"62",536.263,8.153e-05,20261.6,8210.73,1,"Best Fit"
"63",536.263,0.000102074,20261.6,8210.73,1,"Best Fit"
"64",654.998,3.7302e-05,20087.8,7916.19,0,"0"
"65",536.263,4.01262e-05,20261.6,8210.73,1,"Best Fit"
"66",536.263,0.000125114,20261.6,8210.73,1,"Best Fit"
"67",536.263,2.41657e-05,20261.6,8210.73,1,"Best Fit"
