"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 1+ Biomass (mt)","Spawning Output","Fraction Unfished"
2023,894.131,756.11,95317.9,8716.84,0.39362
2024,917.105,756.11,95942.3,8686.69,0.392259
2025,939.749,815.318,96595.2,8666.24,0.391335
2026,961.08,824.766,97209.8,8651.73,0.39068
2027,981.626,834.399,97832.8,8645.37,0.390393
2028,1001.34,843.249,98460.5,8646.64,0.39045
2029,1020.21,851.326,99090.5,8655,0.390828
2030,1038.26,858.651,99720.6,8669.87,0.391499
2031,1055.52,866.294,100349,8690.66,0.392438
2032,1071.99,872.175,100973,8716.67,0.393613
2033,1087.7,877.348,101593,8747.37,0.394999
2034,1102.67,882.908,102207,8782.19,0.396571
