"Year","Trawl_N","Trawl_S","Non-trawl","Total Landings","Total Dead"
2013,"570.11","294.83","166.40","1,031.34","1,111.27"
2014,"456.13","254.05","147.81","858.00","928.12"
2015,"513.66","244.29","131.30","889.26","929.06"
2016,"587.71","185.73","168.94","942.38","992.09"
2017,"634.83","158.30","223.82","1,016.94","1,094.53"
2018,"595.89","105.07","184.48","885.44","948.28"
2019,"460.13","127.94","143.48","731.55","785.62"
2020,"258.09","87.99","85.17","431.26","477.36"
2021,"302.81","73.39","78.74","454.94","499.93"
2022,"506.30","97.61","66.22","670.12","724.14"
