"Year","(1-SPR)/(1-SPR_50%)","Interval","Exploitation Rate","Interval"
2013,"1.29","1.06–1.53","0.0120","0.0079–0.0160"
2014,"1.16","0.92–1.41","0.0100","0.0066–0.0134"
2015,"1.15","0.91–1.40","0.0100","0.0066–0.0135"
2016,"1.19","0.95–1.44","0.0107","0.0070–0.0144"
2017,"1.25","1.00–1.50","0.0118","0.0077–0.0159"
2018,"1.14","0.89–1.39","0.0103","0.0067–0.0138"
2019,"1.00","0.75–1.24","0.0085","0.0055–0.0114"
2020,"0.68","0.48–0.87","0.0051","0.0033–0.0069"
2021,"0.69","0.49–0.88","0.0053","0.0035–0.0072"
2022,"0.88","0.66–1.10","0.0076","0.0050–0.0103"
