"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65","Age66","Age67","Age68","Age69","Age70","Age71","Age72","Age73","Age74","Age75","Age76","Age77","Age78","Age79","Age80","Age81","Age82","Age83","Age84","Age85","Age86","Age87","Age88","Age89","Age90","Age91","Age92","Age93","Age94","Age95","Age96","Age97","Age98","Age99","Age100"
1901,6412.05,6163.3,5845.34,5616.14,5395.93,5184.35,4981.07,4785.76,4598.11,4417.81,4244.59,4078.15,3918.25,3764.61,3617,3475.17,3338.91,3207.99,3082.2,2961.35,2845.23,2733.67,2626.48,2523.49,2424.55,2329.48,2238.14,2150.38,2066.06,1985.05,1907.22,1832.43,1760.58,1691.55,1625.22,1561.5,1500.27,1441.44,1384.92,1330.62,1278.44,1228.32,1180.15,1133.88,1089.42,1046.7,1005.66,966.228,928.342,891.941,856.967,823.365,791.081,760.062,730.259,701.625,674.114,647.682,622.286,597.886,574.442,551.918,530.277,509.485,489.507,470.314,451.872,434.154,417.131,400.775,385.06,369.962,355.455,341.518,328.127,315.261,302.899,291.022,279.611,268.647,258.114,247.993,238.269,228.926,219.95,211.326,203.039,195.078,187.429,180.08,173.019,166.235,159.716,153.454,147.437,141.656,136.101,130.765,125.637,120.711,2957.82
1902,6413.83,6160.63,5921.63,5616.14,5395.93,5184.35,4981.07,4785.76,4598.11,4417.81,4244.59,4078.15,3918.25,3764.61,3617,3475.17,3338.91,3207.99,3082.2,2961.35,2845.23,2733.67,2626.48,2523.49,2424.55,2329.48,2238.14,2150.38,2066.06,1985.05,1907.21,1832.43,1760.58,1691.55,1625.22,1561.49,1500.27,1441.44,1384.92,1330.62,1278.44,1228.32,1180.15,1133.88,1089.42,1046.7,1005.66,966.227,928.341,891.94,856.966,823.364,791.08,760.061,730.259,701.625,674.114,647.681,622.285,597.885,574.442,551.918,530.277,509.484,489.507,470.313,451.872,434.154,417.131,400.775,385.06,369.962,355.455,341.518,328.127,315.261,302.899,291.022,279.611,268.647,258.114,247.993,238.269,228.926,219.95,211.326,203.039,195.078,187.429,180.08,173.019,166.235,159.716,153.454,147.437,141.656,136.101,130.765,125.637,120.711,2957.82
1903,6413.32,6162.34,5919.07,5689.44,5395.93,5184.35,4981.07,4785.76,4598.11,4417.81,4244.59,4078.15,3918.25,3764.61,3617,3475.17,3338.91,3207.99,3082.2,2961.35,2845.23,2733.67,2626.48,2523.49,2424.54,2329.48,2238.14,2150.38,2066.06,1985.05,1907.21,1832.43,1760.58,1691.55,1625.22,1561.49,1500.27,1441.44,1384.92,1330.62,1278.44,1228.31,1180.15,1133.88,1089.42,1046.7,1005.66,966.226,928.339,891.939,856.965,823.363,791.079,760.06,730.258,701.624,674.113,647.681,622.285,597.885,574.441,551.917,530.276,509.484,489.507,470.313,451.872,434.154,417.13,400.774,385.06,369.961,355.455,341.517,328.126,315.26,302.899,291.022,279.611,268.647,258.113,247.993,238.269,228.926,219.95,211.325,203.039,195.078,187.429,180.08,173.019,166.235,159.716,153.454,147.437,141.656,136.101,130.765,125.637,120.711,2957.82
1904,6404.66,6161.85,5920.71,5686.98,5466.36,5184.35,4981.07,4785.76,4598.11,4417.81,4244.59,4078.15,3918.25,3764.61,3617,3475.17,3338.91,3207.99,3082.2,2961.35,2845.23,2733.67,2626.48,2523.49,2424.54,2329.48,2238.14,2150.38,2066.06,1985.05,1907.21,1832.43,1760.58,1691.54,1625.22,1561.49,1500.26,1441.44,1384.92,1330.61,1278.44,1228.31,1180.15,1133.87,1089.41,1046.7,1005.66,966.224,928.338,891.937,856.964,823.362,791.077,760.059,730.257,701.623,674.112,647.68,622.284,597.884,574.441,551.917,530.276,509.483,489.506,470.313,451.871,434.153,417.13,400.774,385.06,369.961,355.455,341.517,328.126,315.26,302.899,291.022,279.611,268.647,258.113,247.993,238.269,228.926,219.95,211.325,203.039,195.078,187.429,180.08,173.019,166.234,159.716,153.454,147.437,141.656,136.101,130.765,125.637,120.711,2957.82
1905,6395.03,6153.53,5920.24,5688.55,5463.99,5252.02,4981.07,4785.76,4598.11,4417.81,4244.59,4078.15,3918.25,3764.61,3617,3475.17,3338.91,3207.99,3082.2,2961.35,2845.23,2733.67,2626.48,2523.49,2424.54,2329.47,2238.13,2150.37,2066.06,1985.04,1907.21,1832.43,1760.58,1691.54,1625.22,1561.49,1500.26,1441.44,1384.92,1330.61,1278.44,1228.31,1180.15,1133.87,1089.41,1046.7,1005.65,966.222,928.336,891.936,856.962,823.36,791.076,760.058,730.255,701.622,674.111,647.679,622.283,597.883,574.44,551.916,530.275,509.483,489.506,470.312,451.871,434.153,417.13,400.774,385.059,369.961,355.455,341.517,328.126,315.26,302.899,291.022,279.611,268.647,258.113,247.992,238.269,228.926,219.95,211.325,203.039,195.078,187.429,180.08,173.019,166.234,159.716,153.454,147.437,141.656,136.101,130.765,125.637,120.711,2957.82
1906,6391.28,6144.28,5912.24,5688.11,5465.5,5249.75,5046.08,4785.76,4598.11,4417.81,4244.59,4078.15,3918.25,3764.61,3617,3475.17,3338.91,3207.99,3082.2,2961.35,2845.23,2733.67,2626.48,2523.49,2424.54,2329.47,2238.13,2150.37,2066.06,1985.04,1907.21,1832.42,1760.57,1691.54,1625.21,1561.49,1500.26,1441.43,1384.91,1330.61,1278.44,1228.31,1180.14,1133.87,1089.41,1046.69,1005.65,966.22,928.334,891.934,856.961,823.359,791.074,760.056,730.254,701.62,674.11,647.678,622.282,597.882,574.439,551.915,530.274,509.482,489.505,470.311,451.87,434.152,417.129,400.773,385.059,369.961,355.454,341.517,328.126,315.26,302.898,291.022,279.611,268.647,258.113,247.992,238.268,228.926,219.95,211.325,203.039,195.078,187.429,180.08,173.019,166.234,159.716,153.454,147.437,141.656,136.101,130.765,125.637,120.711,2957.82
1907,6387.58,6140.68,5903.36,5680.42,5465.07,5251.2,5043.9,4848.22,4598.11,4417.81,4244.59,4078.15,3918.25,3764.61,3617,3475.17,3338.91,3207.99,3082.2,2961.34,2845.23,2733.66,2626.48,2523.49,2424.54,2329.47,2238.13,2150.37,2066.05,1985.04,1907.21,1832.42,1760.57,1691.54,1625.21,1561.48,1500.26,1441.43,1384.91,1330.61,1278.43,1228.3,1180.14,1133.87,1089.41,1046.69,1005.65,966.218,928.332,891.932,856.958,823.357,791.073,760.054,730.252,701.619,674.108,647.676,622.281,597.881,574.438,551.914,530.273,509.481,489.504,470.311,451.87,434.152,417.129,400.773,385.058,369.96,355.454,341.516,328.125,315.26,302.898,291.021,279.61,268.647,258.113,247.992,238.268,228.926,219.949,211.325,203.039,195.078,187.429,180.079,173.018,166.234,159.716,153.454,147.437,141.656,136.101,130.765,125.637,120.711,2957.82
1908,6378.82,6137.12,5899.9,5671.88,5457.69,5250.78,5045.29,4846.13,4658.12,4417.81,4244.59,4078.15,3918.25,3764.61,3617,3475.17,3338.91,3207.99,3082.2,2961.34,2845.23,2733.66,2626.47,2523.49,2424.54,2329.47,2238.13,2150.37,2066.05,1985.04,1907.2,1832.42,1760.57,1691.53,1625.21,1561.48,1500.25,1441.43,1384.91,1330.6,1278.43,1228.3,1180.14,1133.86,1089.4,1046.69,1005.65,966.215,928.329,891.929,856.956,823.355,791.071,760.052,730.251,701.617,674.107,647.675,622.279,597.88,574.437,551.913,530.272,509.48,489.503,470.31,451.869,434.151,417.128,400.772,385.058,369.96,355.453,341.516,328.125,315.259,302.898,291.021,279.61,268.646,258.113,247.992,238.268,228.926,219.949,211.325,203.039,195.078,187.429,180.079,173.018,166.234,159.716,153.454,147.437,141.656,136.101,130.765,125.637,120.711,2957.82
1909,6372.68,6128.7,5896.48,5668.56,5449.49,5243.69,5044.9,4847.46,4656.11,4475.47,4244.59,4078.15,3918.25,3764.61,3617,3475.17,3338.91,3207.99,3082.2,2961.34,2845.23,2733.66,2626.47,2523.49,2424.54,2329.47,2238.13,2150.37,2066.05,1985.04,1907.2,1832.42,1760.57,1691.53,1625.21,1561.48,1500.25,1441.42,1384.9,1330.6,1278.43,1228.3,1180.14,1133.86,1089.4,1046.69,1005.64,966.213,928.327,891.927,856.954,823.352,791.068,760.05,730.249,701.615,674.105,647.673,622.278,597.878,574.435,551.912,530.271,509.479,489.502,470.309,451.868,434.15,417.127,400.772,385.057,369.959,355.453,341.516,328.125,315.259,302.898,291.021,279.61,268.646,258.113,247.992,238.268,228.925,219.949,211.325,203.039,195.078,187.428,180.079,173.018,166.234,159.716,153.454,147.437,141.656,136.101,130.765,125.637,120.711,2957.82
1910,6360.23,6122.8,5888.39,5665.28,5446.29,5235.81,5038.08,4847.08,4657.39,4473.54,4299.99,4078.15,3918.25,3764.61,3617,3475.17,3338.91,3207.99,3082.2,2961.34,2845.23,2733.66,2626.47,2523.49,2424.54,2329.47,2238.13,2150.37,2066.05,1985.04,1907.2,1832.42,1760.56,1691.53,1625.2,1561.48,1500.25,1441.42,1384.9,1330.6,1278.42,1228.3,1180.13,1133.86,1089.4,1046.68,1005.64,966.21,928.324,891.924,856.951,823.35,791.066,760.048,730.246,701.613,674.103,647.671,622.276,597.876,574.434,551.91,530.27,509.478,489.501,470.308,451.867,434.149,417.126,400.771,385.057,369.959,355.452,341.515,328.124,315.258,302.897,291.02,279.61,268.646,258.112,247.992,238.268,228.925,219.949,211.325,203.039,195.077,187.428,180.079,173.018,166.234,159.716,153.454,147.437,141.655,136.101,130.765,125.637,120.711,2957.82
