Yr,Catch,SO_Low,Depletion_Low,SO_Base,Depletion_Base,SO_High,Depletion_High
2023,756,13485,0.427,8717,0.394,9907,0.494
2024,756,13334,0.422,8687,0.392,9965,0.497
2025,711,13194,0.418,8666,0.391,10032,0.5
2026,713,13067,0.414,8659,0.391,10113,0.504
2027,716,12949,0.41,8660,0.391,10202,0.509
2028,718,12841,0.406,8670,0.392,10298,0.513
2029,720,12742,0.403,8688,0.392,10400,0.519
2030,721,12652,0.401,8712,0.393,10509,0.524
2031,722,12570,0.398,8744,0.395,10621,0.53
2032,721,12496,0.396,8782,0.397,10738,0.535
2033,720,12431,0.394,8826,0.399,10857,0.541
2034,719,12372,0.392,8874,0.401,10978,0.547
2023,756,13485,0.427,8717,0.394,9907,0.494
2024,756,13334,0.422,8687,0.392,9965,0.497
2025,815,13194,0.418,8666,0.391,10032,0.5
2026,825,13060,0.413,8652,0.391,10106,0.504
2027,834,12934,0.409,8645,0.39,10187,0.508
2028,843,12817,0.406,8647,0.39,10275,0.512
2029,851,12708,0.402,8655,0.391,10368,0.517
2030,859,12607,0.399,8670,0.392,10467,0.522
2031,866,12513,0.396,8691,0.392,10569,0.527
2032,872,12427,0.393,8717,0.394,10674,0.532
2033,877,12348,0.391,8747,0.395,10781,0.538
2034,883,12275,0.389,8782,0.397,10889,0.543
