Model,Label,Value,Phase,Min,Max,Init,Gradient,Pr_type,Prior,Pr_SD,Pr_Like,LCI95,UCI95
23.sq.floatQ,NatM_break_1_Fem_GP_1,0.0505,-3,0.01,0.15,0.0505,NA,Log_Norm,-3.129,0.5361,0.035684,0.0505,0.0505
23.sq.floatQ,NatM_break_2_Fem_GP_1,0,-3,-3,3,0,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,L_at_Amin_Fem_GP_1,7,-2,3,10,7,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,L_at_Amax_Fem_GP_1,75,-2,55,95,75,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,VonBert_K_Fem_GP_1,0.018,-3,0.01,0.03,0.018,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,CV_young_Fem_GP_1,0.125,-3,0.05,0.25,0.125,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,CV_old_Fem_GP_1,0,-3,-3,3,0,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,Wtlen_1_Fem_GP_1,4.77065e-6,-3,0,100,4.77065e-6,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,Wtlen_2_Fem_GP_1,3.26298,-3,0,100,3.26298,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,Mat50%_Fem_GP_1,18.2,-3,0,100,18.2,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,Mat_slope_Fem_GP_1,-2.3,-3,-3,100,-2.3,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,Eggs/kg_inter_Fem_GP_1,1,-3,0,100,1,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,Eggs/kg_slope_wt_Fem_GP_1,0,-3,0,100,0,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,NatM_break_1_Mal_GP_1,0,-3,-3,3,0,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,NatM_break_2_Mal_GP_1,0,-3,-3,3,0,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,L_at_Amin_Mal_GP_1,0,-3,-3,3,0,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,L_at_Amax_Mal_GP_1,-0.10536,-2,-3,3,-0.10536,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,VonBert_K_Mal_GP_1,0,-3,-3,3,0,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,CV_young_Mal_GP_1,0,-3,-3,3,0,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,CV_old_Mal_GP_1,0,-3,-3,3,0,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,Wtlen_1_Mal_GP_1,4.77065e-6,-3,0,100,4.77065e-6,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,Wtlen_2_Mal_GP_1,3.26298,-3,0,100,3.26298,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,RecrDist_GP_1,0,-4,0,0,0,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,RecrDist_Area_1,0,-4,0,0,0,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,RecrDist_month_3,0,-4,0,0,0,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,CohortGrowDev,1,-1,0.1,10,1,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,FracFemale_GP_1,0.5,-99,1e-8,1,0.5,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,SR_LN(R0),10.0324,4,7,13,10.3,-8.04149e-6,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,SR_BH_steep,0.6,-2,0.2,1,0.6,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,SR_sigmaR,0.5,-4,0,2,0.5,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,SR_regime,0,-4,-5,5,0,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,SR_autocorr,0,-1,-1,1,0,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_51,0.00548398,6,-5,5,0,1.69712e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_50,0.00560549,6,-5,5,0,-1.56145e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_49,0.0057292,6,-5,5,0,-1.54263e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_48,0.00585512,6,-5,5,0,1.01281e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_47,0.00598199,6,-5,5,0,1.26876e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_46,0.00611017,6,-5,5,0,-9.18777e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_45,0.0062412,6,-5,5,0,-1.55993e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_44,0.00637645,6,-5,5,0,5.82072e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_43,0.00651423,6,-5,5,0,2.17494e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_42,0.00665445,6,-5,5,0,9.2414e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_41,0.00679785,6,-5,5,0,-8.503e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_40,0.00694555,6,-5,5,0,-3.59063e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_39,0.0070975,6,-5,5,0,8.3441e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_38,0.0072525,6,-5,5,0,-2.87042e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_37,0.00741125,6,-5,5,0,-2.28965e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_36,0.0075745,6,-5,5,0,-1.30914e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_35,0.00774207,6,-5,5,0,1.66122e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_34,0.0079127,6,-5,5,0,1.78869e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_33,0.00808512,6,-5,5,0,-8.41656e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_32,0.00826157,6,-5,5,0,-9.94371e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_31,0.00843759,6,-5,5,0,1.71714e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_30,0.00861298,6,-5,5,0,2.07759e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_29,0.00878729,6,-5,5,0,-6.7736e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_28,0.00896362,6,-5,5,0,-1.61501e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_27,0.00914387,6,-5,5,0,4.47269e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_26,0.00932347,6,-5,5,0,6.75282e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_25,0.00950503,6,-5,5,0,-1.81541e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_24,0.00968805,6,-5,5,0,-1.78727e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_23,0.00987339,6,-5,5,0,1.03704e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_22,0.0101152,6,-5,5,0,1.15815e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_21,0.0104593,6,-5,5,0,8.33001e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_20,0.0107543,6,-5,5,0,1.00116e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_19,0.0111694,6,-5,5,0,-3.54972e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_18,0.0114702,6,-5,5,0,-9.05558e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_17,0.0117505,6,-5,5,0,-8.95584e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_16,0.0119854,6,-5,5,0,9.12035e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_15,0.0121394,6,-5,5,0,-6.11865e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_14,0.0123329,6,-5,5,0,3.30835e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_13,0.0125908,6,-5,5,0,-1.24217e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_12,0.0128109,6,-5,5,0,4.36825e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_11,0.012919,6,-5,5,0,-1.88034e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_10,0.0131544,6,-5,5,0,-9.22613e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_9,0.0132061,6,-5,5,0,-4.74045e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_8,0.0132653,6,-5,5,0,1.05429e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_7,0.0131873,6,-5,5,0,1.94032e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_6,0.0130389,6,-5,5,0,1.00727e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_5,0.0126144,6,-5,5,0,-1.88581e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_4,0.0121253,6,-5,5,0,-1.06626e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_3,0.0117744,6,-5,5,0,7.94088e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_2,0.0111355,6,-5,5,0,1.20671e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_1,0.00162906,6,-5,5,0,8.30139e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1901,0.0104893,6,-5,5,0,1.11652e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1902,0.0101231,6,-5,5,0,-1.3788e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1903,0.00946507,6,-5,5,0,-6.46277e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1904,0.00899977,6,-5,5,0,1.00221e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1905,0.00837197,6,-5,5,0,7.72041e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1906,0.00754268,6,-5,5,0,-1.14774e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1907,0.00654576,6,-5,5,0,1.60438e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1908,0.00589991,6,-5,5,0,-4.59431e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1909,0.00477775,6,-5,5,0,-1.12197e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1910,0.00396667,6,-5,5,0,8.68559e-7,dev,NA,NA,NA,NA,NA
