Label,23.model.francis_2,23.growth.high,23.growth.low
TOTAL_like,536.643,530.747,544.202
Survey_like,-48.598,-53.3518,-44.2597
Length_comp_like,270.396,283.699,269.085
Parm_priors_like,1.57165,1.55214,1.63653
Recr_Virgin_millions,11.5504,7.22535,16.4954
SR_LN(R0),9.35448,8.88535,9.71083
SR_BH_steep,0.72,0.72,0.72
NatM_break_1_Fem_GP_1,0.04,0.04,0.04
NatM_break_2_Fem_GP_1,0.04,0.04,0.04
NatM_break_1_Mal_GP_1,0.04,0.04,0.04
NatM_break_2_Mal_GP_1,0.04,0.04,0.04
L_at_Amax_Fem_GP_1,73.6079,92.0099,66.2471
L_at_Amax_Mal_GP_1,66.0728,82.591,59.4656
VonBert_K_Fem_GP_1,0.00989856,0.00989856,0.00989856
VonBert_K_Mal_GP_1,0.0167854,0.0167854,0.0167854
SSB_Virgin_thousand_mt,20.332,29.637,18.477
Bratio_2021,0.407749,0.379748,0.455566
SPRratio_2020,0.659097,0.853035,0.518675
