Label,23.model.francis_2,23.maturity.pgcurve,23.maturity.mix_curve
TOTAL_like,718.449,718.427,718.481
Survey_like,-47.0082,-47.0596,-47.0164
Length_comp_like,440.162,440.203,440.192
Parm_priors_like,1.87304,1.87438,1.87377
Recr_Virgin_millions,11.1691,11.1597,11.1671
SR_LN(R0),9.32091,9.32006,9.32073
SR_BH_steep,0.72,0.72,0.72
NatM_break_1_Fem_GP_1,0.04,0.04,0.04
NatM_break_2_Fem_GP_1,0.04,0.04,0.04
NatM_break_1_Mal_GP_1,0.04,0.04,0.04
NatM_break_2_Mal_GP_1,0.04,0.04,0.04
L_at_Amax_Fem_GP_1,73.6079,73.6079,73.6079
L_at_Amax_Mal_GP_1,66.0728,66.0728,66.0728
VonBert_K_Fem_GP_1,0.00989856,0.00989856,0.00989856
VonBert_K_Mal_GP_1,0.0167854,0.0167854,0.0167854
SSB_Virgin_thousand_mt,19.597,21.015,20.647
Bratio_2021,0.380317,0.401551,0.390033
SPRratio_2020,0.730713,0.699335,0.710153
