Label,23.model.francis_2,23.blkret.T3,23.blksel.T1,23.blksel.T2,23.blksel.T3,23.blksel.T4,23.blkret.T3.blksel.T1,23.blkret.T3.blksel.T2,23.blkret.T3.blksel.T3,23.blkret.T3.blksel.T4
TOTAL_like,536.643,465.091,520.165,533.053,518.113,412.863,243.846,259.637,242.448,239.034
Survey_like,-48.598,-48.1403,-50.5943,-48.8601,-50.6566,-52.1385,-50.2118,-48.661,-50.072,-50.4323
Length_comp_like,270.396,272.788,261.028,269.952,260.666,280.763,256.358,270.433,257.076,256.981
Parm_priors_like,1.57165,2.49997,3.71355,1.63243,3.76918,7.19813,6.81048,4.63185,6.72906,6.86373
Recr_Virgin_millions,11.5504,11.2944,13.3339,11.665,13.4086,12.8687,13.1478,11.4788,13.0481,13.1244
SR_LN(R0),9.35448,9.33206,9.49807,9.36435,9.50365,9.46256,9.48401,9.34826,9.4764,9.48223
SR_BH_steep,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
NatM_break_1_Fem_GP_1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
NatM_break_2_Fem_GP_1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
NatM_break_1_Mal_GP_1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
NatM_break_2_Mal_GP_1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
L_at_Amax_Fem_GP_1,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079
L_at_Amax_Mal_GP_1,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728
VonBert_K_Fem_GP_1,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856
VonBert_K_Mal_GP_1,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854
SSB_Virgin_thousand_mt,20.332,19.882,23.472,20.534,23.604,22.653,23.145,20.206,22.969,23.103
Bratio_2021,0.407749,0.38266,0.406712,0.406759,0.406514,0.386602,0.384829,0.386269,0.376196,0.383042
SPRratio_2020,0.659097,0.706805,0.650984,0.664217,0.655293,0.746912,0.696809,0.703098,0.721209,0.702646
