Label,23.model.recdevs_bias,23.model.fleetstruct_1,23.model.fleetstruct_2,23.model.fleetstruct_3,23.model.fleetstruct_4,23.model.fleetstruct_5
TOTAL_like,7245.09,6385,7111.54,7243.93,6487.57,6352.08
Survey_like,-70.1821,-54.2817,-74.2787,-74.378,-55.1512,-54.9451
Length_comp_like,6626.21,5710.64,6453.12,6629.39,5735.69,5555.86
Parm_priors_like,9.78733,9.87516,9.67577,9.80664,10.0411,6.88574
Recr_Virgin_millions,67.1396,55.1561,70.4475,70.0793,96.2154,94.6362
SR_LN(R0),11.1145,10.9179,11.1626,11.1574,11.4743,11.4578
SR_BH_steep,0.72,0.72,0.72,0.72,0.72,0.72
NatM_break_1_Fem_GP_1,0.054,0.054,0.054,0.054,0.054,0.054
NatM_break_2_Fem_GP_1,0.054,0.054,0.054,0.054,0.054,0.054
NatM_break_1_Mal_GP_1,0.054,0.054,0.054,0.054,0.054,0.054
NatM_break_2_Mal_GP_1,0.054,0.054,0.054,0.054,0.054,0.054
L_at_Amax_Fem_GP_1,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079
L_at_Amax_Mal_GP_1,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728
VonBert_K_Fem_GP_1,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856
VonBert_K_Mal_GP_1,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854
SSB_Virgin_thousand_mt,44.288,36.383,46.47,46.227,63.468,62.426
Bratio_2021,0.818024,0.780681,0.820598,0.821059,0.873048,0.871916
SPRratio_2020,0.0983192,0.128583,0.0967353,0.0939276,0.0641575,0.0675153
