"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65","Age66","Age67","Age68","Age69","Age70","Age71","Age72","Age73","Age74","Age75","Age76","Age77","Age78","Age79","Age80","Age81","Age82","Age83","Age84","Age85","Age86","Age87","Age88","Age89","Age90","Age91","Age92","Age93","Age94","Age95","Age96","Age97","Age98","Age99","Age100"
1901,6.1512,19.0965,70.5103,100.64,123.387,148.362,175.43,204.441,235.227,267.61,301.407,336.428,372.481,409.376,446.924,484.942,523.25,561.676,600.055,638.231,676.056,713.39,750.106,786.084,821.213,855.394,888.536,920.558,951.388,980.963,1009.23,1036.14,1061.65,1085.74,1108.38,1129.55,1149.25,1167.46,1184.19,1199.44,1213.23,1225.57,1236.47,1245.96,1254.07,1260.82,1266.24,1270.37,1273.24,1274.89,1275.36,1274.69,1272.91,1270.08,1266.22,1261.4,1255.63,1248.98,1241.48,1233.18,1224.11,1214.33,1203.86,1192.76,1181.06,1168.8,1156.02,1142.76,1129.06,1114.94,1100.45,1085.62,1070.48,1055.06,1039.4,1023.51,1007.44,991.204,974.832,958.346,941.772,925.131,908.445,891.732,875.013,858.304,841.623,824.985,808.405,791.897,775.473,759.145,742.924,726.821,710.844,695.004,679.308,663.763,648.378,633.158,16915.6
1902,6.13716,19.0597,69.0306,100.64,123.387,148.362,175.43,204.441,235.227,267.61,301.407,336.428,372.481,409.376,446.924,484.942,523.25,561.676,600.055,638.231,676.055,713.39,750.106,786.083,821.213,855.394,888.536,920.557,951.387,980.962,1009.23,1036.14,1061.65,1085.74,1108.38,1129.55,1149.24,1167.46,1184.19,1199.44,1213.23,1225.56,1236.47,1245.96,1254.07,1260.81,1266.24,1270.37,1273.24,1274.89,1275.36,1274.69,1272.91,1270.08,1266.22,1261.39,1255.63,1248.98,1241.48,1233.18,1224.11,1214.33,1203.86,1192.76,1181.06,1168.8,1156.02,1142.76,1129.06,1114.94,1100.45,1085.62,1070.48,1055.06,1039.4,1023.51,1007.44,991.204,974.831,958.346,941.772,925.131,908.444,891.732,875.012,858.304,841.623,824.985,808.405,791.897,775.473,759.145,742.924,726.821,710.844,695.004,679.308,663.763,648.378,633.158,16915.6
1903,6.11909,19.0162,68.8977,98.5284,123.387,148.362,175.43,204.441,235.227,267.61,301.407,336.428,372.481,409.376,446.924,484.942,523.25,561.676,600.055,638.231,676.055,713.39,750.106,786.083,821.212,855.393,888.535,920.557,951.387,980.961,1009.23,1036.13,1061.65,1085.74,1108.38,1129.55,1149.24,1167.45,1184.18,1199.44,1213.23,1225.56,1236.47,1245.96,1254.06,1260.81,1266.24,1270.37,1273.24,1274.89,1275.36,1274.69,1272.91,1270.08,1266.22,1261.39,1255.63,1248.98,1241.48,1233.18,1224.11,1214.32,1203.86,1192.76,1181.06,1168.8,1156.02,1142.76,1129.06,1114.94,1100.45,1085.62,1070.48,1055.06,1039.39,1023.51,1007.44,991.203,974.831,958.346,941.772,925.131,908.444,891.732,875.012,858.304,841.623,824.985,808.405,791.897,775.473,759.145,742.924,726.82,710.844,695.004,679.308,663.763,648.378,633.158,16915.6
1904,6.0971,18.9602,68.7404,98.3387,120.797,148.362,175.43,204.441,235.227,267.61,301.407,336.428,372.481,409.376,446.924,484.942,523.25,561.676,600.055,638.231,676.055,713.39,750.106,786.083,821.212,855.393,888.535,920.556,951.386,980.96,1009.22,1036.13,1061.65,1085.74,1108.37,1129.55,1149.24,1167.45,1184.18,1199.44,1213.22,1225.56,1236.46,1245.96,1254.06,1260.81,1266.23,1270.36,1273.24,1274.89,1275.36,1274.68,1272.91,1270.07,1266.22,1261.39,1255.63,1248.98,1241.48,1233.17,1224.11,1214.32,1203.86,1192.76,1181.06,1168.8,1156.02,1142.76,1129.06,1114.94,1100.45,1085.62,1070.48,1055.06,1039.39,1023.51,1007.44,991.203,974.83,958.345,941.771,925.13,908.444,891.731,875.012,858.303,841.623,824.985,808.405,791.896,775.472,759.144,742.924,726.82,710.844,695.004,679.308,663.763,648.378,633.157,16915.6
1905,6.07532,18.8921,68.538,98.1141,120.565,145.248,175.43,204.441,235.227,267.61,301.407,336.428,372.481,409.376,446.924,484.942,523.25,561.676,600.055,638.231,676.055,713.39,750.105,786.083,821.212,855.392,888.534,920.556,951.385,980.959,1009.22,1036.13,1061.65,1085.73,1108.37,1129.54,1149.24,1167.45,1184.18,1199.43,1213.22,1225.56,1236.46,1245.95,1254.06,1260.81,1266.23,1270.36,1273.23,1274.89,1275.35,1274.68,1272.91,1270.07,1266.22,1261.39,1255.63,1248.97,1241.48,1233.17,1224.11,1214.32,1203.86,1192.76,1181.06,1168.8,1156.02,1142.76,1129.05,1114.94,1100.45,1085.62,1070.48,1055.06,1039.39,1023.51,1007.44,991.202,974.83,958.345,941.771,925.13,908.443,891.731,875.012,858.303,841.622,824.985,808.405,791.896,775.472,759.144,742.923,726.82,710.844,695.004,679.307,663.763,648.377,633.157,16915.6
1906,6.05697,18.8246,68.2917,97.8253,120.29,144.969,171.749,204.441,235.227,267.61,301.407,336.428,372.481,409.376,446.924,484.942,523.25,561.676,600.055,638.23,676.055,713.389,750.105,786.082,821.211,855.392,888.533,920.555,951.384,980.959,1009.22,1036.13,1061.64,1085.73,1108.37,1129.54,1149.24,1167.45,1184.18,1199.43,1213.22,1225.56,1236.46,1245.95,1254.06,1260.81,1266.23,1270.36,1273.23,1274.88,1275.35,1274.68,1272.9,1270.07,1266.21,1261.39,1255.62,1248.97,1241.47,1233.17,1224.1,1214.32,1203.86,1192.75,1181.05,1168.8,1156.02,1142.76,1129.05,1114.94,1100.45,1085.62,1070.48,1055.06,1039.39,1023.51,1007.44,991.202,974.829,958.344,941.77,925.129,908.443,891.73,875.011,858.303,841.622,824.984,808.404,791.896,775.472,759.144,742.923,726.82,710.844,695.003,679.307,663.763,648.377,633.157,16915.6
1907,6.0393,18.7677,68.0477,97.4738,119.935,144.637,171.418,200.15,235.227,267.61,301.407,336.428,372.481,409.376,446.924,484.942,523.25,561.676,600.055,638.23,676.055,713.389,750.105,786.082,821.211,855.391,888.533,920.554,951.383,980.958,1009.22,1036.13,1061.64,1085.73,1108.37,1129.54,1149.24,1167.45,1184.18,1199.43,1213.22,1225.55,1236.46,1245.95,1254.05,1260.8,1266.23,1270.36,1273.23,1274.88,1275.35,1274.68,1272.9,1270.07,1266.21,1261.38,1255.62,1248.97,1241.47,1233.17,1224.1,1214.32,1203.85,1192.75,1181.05,1168.79,1156.02,1142.76,1129.05,1114.94,1100.45,1085.61,1070.47,1055.06,1039.39,1023.51,1007.44,991.201,974.828,958.343,941.769,925.129,908.442,891.73,875.011,858.302,841.621,824.984,808.404,791.896,775.472,759.144,742.923,726.82,710.844,695.003,679.307,663.763,648.377,633.157,16915.6
1908,6.01699,18.713,67.8422,97.1255,119.505,144.212,171.027,199.765,230.29,267.61,301.407,336.428,372.481,409.376,446.924,484.942,523.25,561.676,600.055,638.23,676.054,713.389,750.104,786.082,821.21,855.391,888.532,920.553,951.383,980.957,1009.22,1036.13,1061.64,1085.73,1108.37,1129.54,1149.23,1167.44,1184.17,1199.43,1213.21,1225.55,1236.45,1245.94,1254.05,1260.8,1266.22,1270.35,1273.22,1274.88,1275.35,1274.67,1272.9,1270.06,1266.21,1261.38,1255.62,1248.97,1241.47,1233.16,1224.1,1214.31,1203.85,1192.75,1181.05,1168.79,1156.01,1142.75,1129.05,1114.93,1100.44,1085.61,1070.47,1055.05,1039.39,1023.51,1007.43,991.2,974.827,958.343,941.769,925.128,908.441,891.729,875.01,858.302,841.621,824.983,808.404,791.895,775.471,759.143,742.923,726.819,710.843,695.003,679.307,663.763,648.377,633.157,16915.6
1909,5.99556,18.6439,67.6443,96.8322,119.078,143.694,170.523,199.309,229.847,261.995,301.407,336.428,372.481,409.376,446.924,484.942,523.25,561.675,600.054,638.23,676.054,713.389,750.104,786.081,821.21,855.39,888.531,920.553,951.382,980.955,1009.22,1036.13,1061.64,1085.73,1108.37,1129.54,1149.23,1167.44,1184.17,1199.42,1213.21,1225.55,1236.45,1245.94,1254.05,1260.8,1266.22,1270.35,1273.22,1274.87,1275.34,1274.67,1272.89,1270.06,1266.2,1261.38,1255.61,1248.96,1241.46,1233.16,1224.1,1214.31,1203.85,1192.75,1181.05,1168.79,1156.01,1142.75,1129.05,1114.93,1100.44,1085.61,1070.47,1055.05,1039.39,1023.51,1007.43,991.198,974.826,958.342,941.768,925.127,908.441,891.729,875.009,858.301,841.62,824.983,808.403,791.895,775.471,759.143,742.922,726.819,710.843,695.003,679.307,663.762,648.377,633.157,16915.6
1910,5.97068,18.5775,67.3944,96.5497,118.718,143.18,169.91,198.722,229.322,261.49,295.082,336.428,372.481,409.376,446.924,484.942,523.25,561.675,600.054,638.23,676.054,713.389,750.104,786.081,821.209,855.39,888.531,920.552,951.381,980.954,1009.22,1036.13,1061.64,1085.73,1108.36,1129.53,1149.23,1167.44,1184.17,1199.42,1213.21,1225.54,1236.45,1245.94,1254.04,1260.79,1266.21,1270.34,1273.22,1274.87,1275.34,1274.66,1272.89,1270.05,1266.2,1261.37,1255.61,1248.96,1241.46,1233.16,1224.09,1214.31,1203.84,1192.74,1181.04,1168.79,1156.01,1142.75,1129.04,1114.93,1100.44,1085.61,1070.47,1055.05,1039.39,1023.5,1007.43,991.197,974.825,958.34,941.767,925.126,908.44,891.728,875.009,858.3,841.62,824.982,808.403,791.894,775.47,759.143,742.922,726.819,710.843,695.002,679.306,663.762,648.377,633.157,16915.6
