"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65","Age66","Age67","Age68","Age69","Age70","Age71","Age72","Age73","Age74","Age75","Age76","Age77","Age78","Age79","Age80","Age81","Age82","Age83","Age84","Age85","Age86","Age87","Age88","Age89","Age90","Age91","Age92","Age93","Age94","Age95","Age96","Age97","Age98","Age99","Age100"
1901,0,6.29961,13.2238,37.2919,57.3275,77.3468,100.532,126.726,155.748,187.372,221.346,257.395,295.235,334.574,375.119,416.58,458.676,501.134,543.695,586.113,628.158,669.617,710.294,750.011,788.605,825.933,861.867,896.296,929.127,960.278,989.685,1017.3,1043.07,1066.98,1089.02,1109.16,1127.43,1143.83,1158.37,1171.1,1182.03,1191.21,1198.68,1204.49,1208.69,1211.33,1212.47,1212.17,1210.49,1207.48,1203.22,1197.76,1191.17,1183.5,1174.83,1165.21,1154.7,1143.36,1131.26,1118.44,1104.97,1090.89,1076.26,1061.14,1045.56,1029.58,1013.25,996.596,979.672,962.515,945.164,927.654,910.019,892.293,874.506,856.686,838.862,821.059,803.302,785.612,768.011,750.519,733.154,715.933,698.871,681.982,665.281,648.778,632.485,616.411,600.566,584.957,569.592,554.475,539.614,525.012,510.674,496.602,482.798,469.266,11984.4
1902,0,6.28678,12.93,37.2919,57.3275,77.3468,100.532,126.726,155.748,187.372,221.346,257.395,295.235,334.574,375.119,416.58,458.676,501.134,543.695,586.113,628.158,669.617,710.294,750.011,788.605,825.932,861.866,896.296,929.126,960.278,989.684,1017.29,1043.07,1066.98,1089.01,1109.16,1127.43,1143.83,1158.37,1171.1,1182.03,1191.21,1198.68,1204.49,1208.69,1211.33,1212.47,1212.17,1210.49,1207.48,1203.22,1197.76,1191.16,1183.5,1174.83,1165.2,1154.7,1143.36,1131.26,1118.44,1104.97,1090.89,1076.26,1061.14,1045.56,1029.58,1013.25,996.595,979.671,962.515,945.163,927.653,910.019,892.292,874.505,856.686,838.862,821.059,803.301,785.612,768.011,750.519,733.154,715.932,698.87,681.982,665.28,648.777,632.484,616.411,600.566,584.957,569.591,554.475,539.614,525.012,510.674,496.601,482.798,469.266,11984.4
1903,0,6.27182,12.9036,36.4634,57.3275,77.3468,100.532,126.726,155.748,187.372,221.346,257.395,295.235,334.574,375.119,416.58,458.676,501.134,543.695,586.113,628.158,669.617,710.294,750.01,788.604,825.932,861.866,896.296,929.126,960.277,989.684,1017.29,1043.07,1066.98,1089.01,1109.16,1127.43,1143.83,1158.37,1171.1,1182.03,1191.21,1198.68,1204.49,1208.69,1211.33,1212.47,1212.17,1210.48,1207.48,1203.22,1197.76,1191.16,1183.5,1174.82,1165.2,1154.7,1143.36,1131.25,1118.44,1104.96,1090.89,1076.26,1061.14,1045.56,1029.58,1013.24,996.594,979.67,962.514,945.162,927.652,910.018,892.292,874.504,856.685,838.861,821.058,803.301,785.611,768.011,750.519,733.153,715.932,698.87,681.981,665.28,648.777,632.484,616.411,600.565,584.957,569.591,554.475,539.614,525.012,510.673,496.601,482.798,469.266,11984.4
1904,0,6.2524,12.8729,36.3892,56.0538,77.3468,100.532,126.726,155.748,187.372,221.346,257.395,295.235,334.574,375.119,416.58,458.676,501.134,543.695,586.112,628.158,669.617,710.294,750.01,788.604,825.932,861.865,896.295,929.125,960.276,989.683,1017.29,1043.07,1066.98,1089.01,1109.16,1127.43,1143.82,1158.37,1171.09,1182.03,1191.21,1198.68,1204.49,1208.69,1211.33,1212.47,1212.17,1210.48,1207.48,1203.21,1197.75,1191.16,1183.5,1174.82,1165.2,1154.69,1143.36,1131.25,1118.44,1104.96,1090.89,1076.26,1061.13,1045.56,1029.58,1013.24,996.593,979.669,962.513,945.161,927.651,910.017,892.291,874.504,856.684,838.86,821.058,803.3,785.611,768.01,750.518,733.153,715.931,698.869,681.981,665.279,648.777,632.484,616.41,600.565,584.956,569.591,554.475,539.614,525.012,510.673,496.601,482.798,469.265,11984.4
1905,0,6.22893,12.8331,36.3025,55.9397,75.6284,100.532,126.726,155.748,187.372,221.346,257.395,295.235,334.574,375.119,416.58,458.676,501.134,543.695,586.112,628.157,669.617,710.294,750.01,788.604,825.931,861.865,896.294,929.125,960.276,989.682,1017.29,1043.07,1066.98,1089.01,1109.16,1127.43,1143.82,1158.37,1171.09,1182.02,1191.21,1198.68,1204.49,1208.68,1211.32,1212.46,1212.16,1210.48,1207.47,1203.21,1197.75,1191.16,1183.49,1174.82,1165.2,1154.69,1143.36,1131.25,1118.43,1104.96,1090.88,1076.26,1061.13,1045.56,1029.58,1013.24,996.591,979.668,962.511,945.16,927.65,910.016,892.29,874.502,856.683,838.859,821.057,803.299,785.61,768.009,750.517,733.152,715.931,698.869,681.981,665.279,648.776,632.483,616.41,600.565,584.956,569.59,554.474,539.613,525.011,510.673,496.601,482.798,469.265,11984.4
1906,0,6.20562,12.7849,36.1901,55.8065,75.4744,98.2981,126.726,155.748,187.372,221.346,257.395,295.235,334.574,375.119,416.58,458.676,501.134,543.695,586.112,628.157,669.617,710.294,750.01,788.603,825.931,861.864,896.294,929.124,960.275,989.681,1017.29,1043.07,1066.98,1089.01,1109.16,1127.42,1143.82,1158.37,1171.09,1182.02,1191.2,1198.67,1204.48,1208.68,1211.32,1212.46,1212.16,1210.48,1207.47,1203.21,1197.75,1191.16,1183.49,1174.82,1165.2,1154.69,1143.35,1131.25,1118.43,1104.96,1090.88,1076.26,1061.13,1045.56,1029.58,1013.24,996.589,979.666,962.51,945.159,927.649,910.015,892.288,874.501,856.682,838.858,821.056,803.298,785.609,768.008,750.516,733.151,715.93,698.868,681.98,665.278,648.776,632.483,616.409,600.564,584.955,569.59,554.474,539.613,525.011,510.673,496.6,482.797,469.265,11984.4
1907,0,6.18609,12.7371,36.0543,55.6337,75.2947,98.0979,123.911,155.748,187.372,221.346,257.395,295.235,334.574,375.119,416.58,458.676,501.134,543.694,586.112,628.157,669.616,710.293,750.009,788.603,825.93,861.864,896.293,929.123,960.274,989.68,1017.29,1043.06,1066.98,1089.01,1109.16,1127.42,1143.82,1158.36,1171.09,1182.02,1191.2,1198.67,1204.48,1208.68,1211.32,1212.46,1212.16,1210.47,1207.47,1203.21,1197.75,1191.15,1183.49,1174.81,1165.19,1154.69,1143.35,1131.25,1118.43,1104.96,1090.88,1076.25,1061.13,1045.55,1029.57,1013.24,996.588,979.664,962.508,945.157,927.647,910.013,892.287,874.5,856.681,838.857,821.055,803.297,785.608,768.007,750.516,733.151,715.929,698.867,681.979,665.278,648.775,632.482,616.409,600.564,584.955,569.59,554.474,539.613,525.011,510.672,496.6,482.797,469.265,11984.4
1908,0,6.16736,12.697,35.9194,55.4249,75.0616,97.8644,123.659,152.288,187.372,221.346,257.395,295.235,334.574,375.119,416.58,458.676,501.134,543.694,586.112,628.157,669.616,710.293,750.009,788.603,825.93,861.863,896.293,929.122,960.273,989.679,1017.29,1043.06,1066.97,1089.01,1109.15,1127.42,1143.82,1158.36,1171.09,1182.02,1191.2,1198.67,1204.48,1208.67,1211.32,1212.46,1212.15,1210.47,1207.47,1203.2,1197.74,1191.15,1183.48,1174.81,1165.19,1154.68,1143.35,1131.24,1118.43,1104.95,1090.88,1076.25,1061.13,1045.55,1029.57,1013.24,996.585,979.662,962.506,945.155,927.645,910.011,892.285,874.498,856.679,838.856,821.053,803.296,785.607,768.006,750.515,733.15,715.928,698.867,681.978,665.277,648.774,632.481,616.408,600.563,584.954,569.589,554.473,539.612,525.01,510.672,496.6,482.797,469.264,11984.4
1909,0,6.14385,12.6585,35.8063,55.2175,74.7798,97.5614,123.364,151.978,183.21,221.346,257.395,295.235,334.574,375.119,416.58,458.676,501.134,543.694,586.112,628.157,669.616,710.293,750.009,788.602,825.93,861.863,896.292,929.122,960.272,989.678,1017.29,1043.06,1066.97,1089,1109.15,1127.42,1143.81,1158.36,1171.08,1182.01,1191.19,1198.67,1204.47,1208.67,1211.31,1212.45,1212.15,1210.47,1207.46,1203.2,1197.74,1191.15,1183.48,1174.81,1165.19,1154.68,1143.34,1131.24,1118.42,1104.95,1090.87,1076.25,1061.12,1045.55,1029.57,1013.23,996.583,979.66,962.504,945.153,927.643,910.009,892.284,874.497,856.678,838.854,821.052,803.295,785.605,768.005,750.513,733.149,715.927,698.866,681.977,665.276,648.774,632.481,616.407,600.562,584.954,569.588,554.473,539.612,525.01,510.671,496.599,482.796,469.264,11984.3
1910,0,6.12119,12.6103,35.6979,55.0437,74.5,97.1951,122.982,151.616,182.836,216.428,257.395,295.235,334.574,375.119,416.58,458.676,501.134,543.694,586.112,628.157,669.616,710.293,750.009,788.602,825.929,861.862,896.291,929.121,960.271,989.677,1017.29,1043.06,1066.97,1089,1109.15,1127.42,1143.81,1158.36,1171.08,1182.01,1191.19,1198.66,1204.47,1208.67,1211.31,1212.45,1212.15,1210.46,1207.46,1203.19,1197.73,1191.14,1183.48,1174.8,1165.18,1154.68,1143.34,1131.24,1118.42,1104.95,1090.87,1076.25,1061.12,1045.55,1029.57,1013.23,996.58,979.657,962.501,945.151,927.641,910.007,892.282,874.495,856.676,838.853,821.05,803.293,785.604,768.004,750.512,733.147,715.926,698.865,681.976,665.275,648.773,632.48,616.407,600.562,584.953,569.588,554.472,539.611,525.009,510.671,496.599,482.796,469.264,11984.3
