"Year","OFL","ABC","ACL","Landings","Total Mortality"
2013,"fill in","fill in","fill in","1,009.21","1,085.62"
2014,"fill in","fill in","fill in","834.98","900.66"
2015,"fill in","fill in","fill in","878.73","945.40"
2016,"fill in","fill in","fill in","931.86","1,012.75"
2017,"fill in","fill in","fill in","988.97","1,085.60"
2018,"fill in","fill in","fill in","814.60","895.39"
2019,"fill in","fill in","fill in","674.37","736.82"
2020,"fill in","fill in","fill in","421.64","458.87"
2021,"fill in","fill in","fill in","378.13","411.62"
2022,"fill in","fill in","fill in","424.98","456.65"
