"Quantity","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","1009.206","834.979","878.73","931.86","988.973","814.596","674.365","421.6353","378.128","424.9815","NA"
"Total Dead","1085.603","900.652","945.388","1012.737","1085.586","895.388","736.815","458.8699","411.6201","456.6547","NA"
"(1-SPR)/(1-SPR_50%)","1.25","1.12","1.15","1.19","1.23","1.09","0.95","0.66","0.60","0.64","NA"
"Exploitation Rate","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.01","NA"
"Age 1+ Biomass (mt)","86,886","86,573","86,486","86,381","86,231","86,024","86,030","86,217","86,722","87,303","195,649"
"Spawning Output","8,804","8,697","8,609","8,523","8,438","8,354","8,289","8,241","8,221","8,211","8,204"
"Interval","5,858–11,750","5,761–11,632","5,683–11,535","5,605–11,441","5,527–11,350","5,447–11,260","5,386–11,191","5,341–11,142","5,322–11,120","5,311–11,111","5,302–11,106"
"Recruits","6,014","5,962","5,937","6,010","5,804","5,727","8,841","9,497","10,234","10,158","10,104"
"Interval","2,462–14,690","2,443–14,554","2,429–14,512","2,445–14,770","2,371–14,204","2,338–14,031","3,551–22,014","3,747–24,072","3,962–26,439","3,939–26,194","3,919–26,052"
"Fraction Unfished","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"Interval","0.4–0.5","0.4–0.5","0.3–0.5","0.3–0.5","0.3–0.5","0.3–0.5","0.3–0.5","0.3–0.5","0.3–0.5","0.3–0.5","0.3–0.5"
