"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65","Age66","Age67","Age68","Age69","Age70","Age71","Age72","Age73","Age74","Age75","Age76","Age77","Age78","Age79","Age80","Age81","Age82","Age83","Age84","Age85","Age86","Age87","Age88","Age89","Age90","Age91","Age92","Age93","Age94","Age95","Age96","Age97","Age98","Age99","Age100"
1901,0,5538.19,5401.47,5189.68,4986.19,4790.68,4602.83,4422.35,4248.95,4082.34,3922.27,3768.48,3620.71,3478.74,3342.34,3211.29,3085.37,2964.39,2848.15,2736.48,2629.18,2526.09,2427.04,2331.87,2240.44,2152.59,2068.18,1987.09,1909.18,1834.32,1762.39,1693.29,1626.89,1563.1,1501.81,1442.92,1386.35,1331.99,1279.76,1229.58,1181.37,1135.04,1090.54,1047.78,1006.69,967.221,929.295,892.857,857.848,824.211,791.893,760.843,731.01,702.346,674.807,648.347,622.925,598.5,575.033,552.485,530.822,510.008,490.01,470.797,452.337,434.6,417.559,401.187,385.456,370.342,355.821,341.869,328.464,315.585,303.21,291.321,279.898,268.923,258.379,248.248,238.514,229.161,220.176,211.543,203.248,195.278,187.622,180.265,173.196,166.405,159.881,153.611,147.588,141.801,136.241,130.899,125.766,120.835,116.097,111.545,2733.22
1902,0,5527.96,5321.03,5189.68,4986.19,4790.68,4602.83,4422.35,4248.95,4082.34,3922.27,3768.48,3620.71,3478.74,3342.34,3211.29,3085.37,2964.39,2848.15,2736.48,2629.18,2526.09,2427.04,2331.87,2240.44,2152.59,2068.18,1987.09,1909.17,1834.31,1762.39,1693.29,1626.89,1563.1,1501.81,1442.92,1386.34,1331.99,1279.76,1229.58,1181.36,1135.04,1090.54,1047.78,1006.69,967.22,929.294,892.856,857.847,824.21,791.892,760.842,731.009,702.346,674.806,648.347,622.925,598.499,575.032,552.485,530.821,510.008,490.01,470.796,452.336,434.6,417.559,401.186,385.456,370.342,355.82,341.868,328.464,315.584,303.21,291.321,279.898,268.923,258.379,248.247,238.514,229.161,220.176,211.543,203.248,195.278,187.621,180.265,173.196,166.405,159.88,153.611,147.588,141.801,136.241,130.899,125.766,120.835,116.097,111.545,2733.22
1903,0,5516.01,5311.21,5112.39,4986.19,4790.68,4602.83,4422.35,4248.95,4082.34,3922.27,3768.48,3620.71,3478.74,3342.34,3211.29,3085.37,2964.39,2848.15,2736.48,2629.18,2526.09,2427.04,2331.87,2240.44,2152.59,2068.18,1987.09,1909.17,1834.31,1762.39,1693.28,1626.89,1563.1,1501.81,1442.92,1386.34,1331.98,1279.76,1229.58,1181.36,1135.04,1090.54,1047.77,1006.69,967.218,929.293,892.855,857.845,824.209,791.891,760.841,731.008,702.345,674.805,648.346,622.924,598.499,575.031,552.484,530.821,510.007,490.009,470.796,452.336,434.599,417.559,401.186,385.455,370.341,355.82,341.868,328.463,315.584,303.21,291.321,279.898,268.923,258.378,248.247,238.513,229.161,220.176,211.542,203.248,195.278,187.621,180.265,173.196,166.405,159.88,153.611,147.588,141.801,136.241,130.899,125.766,120.835,116.097,111.545,2733.22
1904,0,5500.23,5299.73,5102.95,4911.93,4790.68,4602.83,4422.35,4248.95,4082.34,3922.27,3768.48,3620.71,3478.74,3342.34,3211.29,3085.37,2964.39,2848.15,2736.48,2629.18,2526.09,2427.04,2331.87,2240.44,2152.59,2068.18,1987.09,1909.17,1834.31,1762.39,1693.28,1626.89,1563.1,1501.81,1442.92,1386.34,1331.98,1279.75,1229.57,1181.36,1135.04,1090.53,1047.77,1006.69,967.216,929.291,892.853,857.844,824.207,791.89,760.839,731.007,702.343,674.804,648.345,622.923,598.498,575.03,552.483,530.82,510.006,490.009,470.795,452.335,434.599,417.558,401.185,385.455,370.341,355.82,341.868,328.463,315.584,303.21,291.321,279.898,268.923,258.378,248.247,238.513,229.161,220.175,211.542,203.248,195.278,187.621,180.264,173.196,166.405,159.88,153.611,147.588,141.801,136.241,130.899,125.766,120.835,116.097,111.545,2733.22
1905,0,5480.36,5284.56,5091.92,4902.86,4719.33,4602.83,4422.35,4248.95,4082.34,3922.27,3768.48,3620.71,3478.74,3342.34,3211.29,3085.37,2964.39,2848.15,2736.48,2629.18,2526.08,2427.03,2331.87,2240.43,2152.59,2068.18,1987.09,1909.17,1834.31,1762.38,1693.28,1626.89,1563.09,1501.8,1442.92,1386.34,1331.98,1279.75,1229.57,1181.36,1135.04,1090.53,1047.77,1006.69,967.215,929.289,892.851,857.842,824.206,791.888,760.838,731.005,702.342,674.803,648.343,622.922,598.497,575.029,552.482,530.819,510.005,490.008,470.794,452.334,434.598,417.557,401.185,385.454,370.34,355.819,341.867,328.463,315.583,303.209,291.32,279.897,268.923,258.378,248.247,238.513,229.161,220.175,211.542,203.247,195.278,187.621,180.264,173.196,166.405,159.88,153.611,147.588,141.801,136.241,130.899,125.766,120.835,116.097,111.545,2733.22
1906,0,5460.83,5265.47,5077.35,4892.26,4710.62,4534.29,4422.35,4248.95,4082.34,3922.27,3768.48,3620.71,3478.74,3342.34,3211.29,3085.37,2964.39,2848.15,2736.48,2629.18,2526.08,2427.03,2331.87,2240.43,2152.58,2068.18,1987.08,1909.17,1834.31,1762.38,1693.28,1626.88,1563.09,1501.8,1442.91,1386.34,1331.98,1279.75,1229.57,1181.36,1135.03,1090.53,1047.77,1006.69,967.212,929.287,892.849,857.84,824.204,791.886,760.836,731.003,702.34,674.801,648.342,622.92,598.495,575.028,552.481,530.818,510.004,490.007,470.794,452.334,434.597,417.557,401.184,385.453,370.34,355.819,341.867,328.462,315.583,303.209,291.32,279.897,268.922,258.378,248.247,238.513,229.161,220.175,211.542,203.247,195.278,187.621,180.264,173.196,166.405,159.88,153.611,147.588,141.801,136.241,130.899,125.766,120.835,116.097,111.545,2733.22
1907,0,5445.07,5246.71,5059.01,4878.27,4700.43,4525.91,4356.49,4248.95,4082.34,3922.27,3768.48,3620.71,3478.74,3342.34,3211.29,3085.37,2964.39,2848.15,2736.48,2629.18,2526.08,2427.03,2331.87,2240.43,2152.58,2068.18,1987.08,1909.17,1834.31,1762.38,1693.28,1626.88,1563.09,1501.8,1442.91,1386.33,1331.97,1279.75,1229.57,1181.35,1135.03,1090.53,1047.77,1006.68,967.21,929.285,892.847,857.838,824.202,791.884,760.834,731.002,702.339,674.8,648.34,622.919,598.494,575.027,552.48,530.817,510.003,490.006,470.793,452.333,434.596,417.556,401.183,385.453,370.339,355.818,341.866,328.461,315.582,303.208,291.319,279.897,268.922,258.377,248.246,238.512,229.16,220.175,211.542,203.247,195.278,187.621,180.264,173.196,166.405,159.88,153.611,147.588,141.801,136.241,130.899,125.766,120.835,116.097,111.545,2733.21
1908,0,5429.3,5231.57,5040.98,4860.64,4686.99,4516.13,4348.45,4185.67,4082.34,3922.27,3768.48,3620.71,3478.74,3342.34,3211.28,3085.37,2964.39,2848.15,2736.47,2629.18,2526.08,2427.03,2331.87,2240.43,2152.58,2068.18,1987.08,1909.17,1834.3,1762.38,1693.27,1626.88,1563.09,1501.8,1442.91,1386.33,1331.97,1279.74,1229.56,1181.35,1135.03,1090.52,1047.76,1006.68,967.207,929.282,892.845,857.836,824.2,791.882,760.832,731,702.337,674.798,648.339,622.917,598.492,575.025,552.478,530.815,510.002,490.005,470.791,452.332,434.595,417.555,401.182,385.452,370.338,355.817,341.865,328.461,315.582,303.208,291.319,279.896,268.921,258.377,248.246,238.512,229.16,220.174,211.541,203.247,195.277,187.62,180.264,173.196,166.405,159.88,153.611,147.588,141.801,136.241,130.899,125.766,120.835,116.097,111.544,2733.21
1909,0,5406.73,5216.41,5026.44,4843.32,4670.05,4503.21,4339.05,4177.94,4021.55,3922.27,3768.48,3620.71,3478.74,3342.34,3211.28,3085.37,2964.39,2848.15,2736.47,2629.17,2526.08,2427.03,2331.87,2240.43,2152.58,2068.18,1987.08,1909.16,1834.3,1762.38,1693.27,1626.88,1563.08,1501.79,1442.91,1386.33,1331.97,1279.74,1229.56,1181.35,1135.03,1090.52,1047.76,1006.68,967.205,929.28,892.842,857.833,824.197,791.88,760.83,730.997,702.335,674.796,648.337,622.915,598.49,575.023,552.477,530.814,510.001,490.003,470.79,452.33,434.594,417.554,401.181,385.451,370.337,355.816,341.865,328.46,315.581,303.207,291.318,279.896,268.921,258.376,248.245,238.512,229.16,220.174,211.541,203.246,195.277,187.62,180.264,173.195,166.404,159.88,153.611,147.587,141.801,136.24,130.898,125.766,120.835,116.097,111.544,2733.21
1910,0,5388,5194.73,5011.87,4829.35,4653.41,4486.94,4326.64,4168.91,4014.13,3863.86,3768.48,3620.71,3478.74,3342.34,3211.28,3085.37,2964.39,2848.15,2736.47,2629.17,2526.08,2427.03,2331.87,2240.43,2152.58,2068.17,1987.08,1909.16,1834.3,1762.37,1693.27,1626.87,1563.08,1501.79,1442.9,1386.33,1331.97,1279.74,1229.56,1181.34,1135.02,1090.52,1047.76,1006.67,967.201,929.277,892.839,857.83,824.194,791.877,760.827,730.995,702.332,674.793,648.335,622.913,598.489,575.022,552.475,530.812,509.999,490.002,470.789,452.329,434.593,417.553,401.18,385.45,370.336,355.816,341.864,328.459,315.58,303.206,291.318,279.895,268.92,258.376,248.245,238.511,229.159,220.174,211.541,203.246,195.277,187.62,180.263,173.195,166.404,159.879,153.61,147.587,141.8,136.24,130.898,125.766,120.834,116.096,111.544,2733.21
