"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"7","SR_LN(R0)",9,726.08,0.000690012,14217.4,4490.93,0.315875,0
"6","SR_LN(R0)",9.05,723.689,0.00118168,14946.4,4842.12,0.323967,0
"5","SR_LN(R0)",9.1,721.794,8.39664e-05,15712.7,5227.24,0.332677,0
"4","SR_LN(R0)",9.15,720.362,0.000414543,16518.3,5649.98,0.342044,0
"3","SR_LN(R0)",9.2,719.356,9.60838e-05,17365.2,6113.87,0.352076,0
"2","SR_LN(R0)",9.25,718.736,7.61026e-05,18255.5,6622.89,0.362789,0
"1","SR_LN(R0)",9.3,718.459,9.5348e-05,19191.5,7182.98,0.374279,0
"8","SR_LN(R0)",9.32091,718.434,8.63834e-05,19597,7433.32,0.379309,0
"9","SR_LN(R0)",9.35,718.48,2.13444e-05,20175.5,7798.15,0.386516,0
"10","SR_LN(R0)",9.4,718.752,6.68768e-05,21209.9,8472.74,0.399471,0
"11","SR_LN(R0)",9.45,719.231,8.91699e-05,22297.3,9209.89,0.413049,0
"12","SR_LN(R0)",9.5,719.875,2.16281e-05,23440.5,10011.3,0.427094,0
"13","SR_LN(R0)",9.55,720.646,0.00159571,24642.4,10881.9,0.441594,0
"14","SR_LN(R0)",9.6,721.509,8.67519e-05,25905.8,11824.1,0.456427,0
"15","SR_LN(R0)",9.65,722.435,2.16157e-05,27234,12838.7,0.471421,0
"16","SR_LN(R0)",9.7,723.4,0.000365012,28630.3,13924.9,0.48637,0
"17","SR_LN(R0)",9.75,724.386,9.49345e-05,30098.3,15084.7,0.50118,0
"18","SR_LN(R0)",9.8,725.378,0.00190297,31641.4,16319.8,0.515773,0
"19","SR_LN(R0)",9.85,726.364,7.75338e-05,33263.7,17632.4,0.530078,0
"20","SR_LN(R0)",9.9,727.336,0.000425091,34969.2,19024.3,0.54403,0
"21","SR_LN(R0)",9.95,728.287,3.83067e-05,36762.1,20496.1,0.557534,0
"22","SR_LN(R0)",10,729.211,0.000123942,38646.9,22057.9,0.570754,0
