Label,23.model.francis_2,23.blkret.T1,23.blkret.T2,23.blkret.T3,23.blkret.T4,23.blkret.T3.NT1,23.blkret.T3.NT2
TOTAL_like,718.449,696.898,645.892,507.557,396.556,503.375,503.004
Survey_like,-47.0082,-46.3531,-45.8524,-45.394,-46.9523,-45.3505,-45.3476
Length_comp_like,440.162,418.635,430.731,416.026,405.589,412.539,412.102
Parm_priors_like,1.87304,3.42401,2.05826,5.69911,6.46711,6.85659,7.24279
Recr_Virgin_millions,11.1691,11.6374,11.1695,11.4213,11.6037,11.4343,11.434
SR_LN(R0),9.32091,9.36198,9.32095,9.34324,9.35908,9.34438,9.34435
SR_BH_steep,0.72,0.72,0.72,0.72,0.72,0.72,0.72
NatM_break_1_Fem_GP_1,0.04,0.04,0.04,0.04,0.04,0.04,0.04
NatM_break_2_Fem_GP_1,0.04,0.04,0.04,0.04,0.04,0.04,0.04
NatM_break_1_Mal_GP_1,0.04,0.04,0.04,0.04,0.04,0.04,0.04
NatM_break_2_Mal_GP_1,0.04,0.04,0.04,0.04,0.04,0.04,0.04
L_at_Amax_Fem_GP_1,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079
L_at_Amax_Mal_GP_1,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728
VonBert_K_Fem_GP_1,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856
VonBert_K_Mal_GP_1,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854
SSB_Virgin_thousand_mt,19.597,20.419,19.598,20.04,20.359,20.062,20.062
Bratio_2021,0.380317,0.383616,0.374164,0.360248,0.381038,0.360319,0.360251
SPRratio_2020,0.730713,0.702755,0.750939,0.75754,0.713608,0.763345,0.762508
