"Quantity","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","1031.341","857.998","889.257","942.384","1016.944","885.444","731.553","431.2563","454.939","670.1175","NA"
"Total Dead","1111.268","928.117","929.063","992.09","1094.534","948.282","785.619","477.3619","499.9311","724.1363","NA"
"(1-SPR)/(1-SPR_50%)","1.29251","1.16314","1.15484","1.19194","1.25041","1.13894","0.995783","0.678345","0.68511","0.879862",NA
"Exploitation Rate","0.0119699","0.0100317","0.0100477","0.0107268","0.0118312","0.0102522","0.00847605","0.00512747","0.00532511","0.00764713",NA
"Age 1+ Biomass (mt)","92838.5","92518.2","92465.7","92486.8","92512.8","92495.7","92687","93098.8","93881.8","94693.8","216885"
"Spawning Output","9626.13","9475.88","9347.67","9227.73","9111.75","8996.77","8902.13","8828.55","8786.86","8754.15","8716.84"
"Lower Interval","6360.32","6228.08","6116.43","6011.25","5908.05","5803.83","5717.87","5650.96","5613.7","5582.89","5544.91"
"Upper Interval","12891.94","12723.68","12578.91","12444.21","12315.45","12189.71","12086.39","12006.14","11960.02","11925.41","11888.77"
"Recruits","9621.79","9649.83","9783.14","10155.4","9995.22","9990.47","10353.5","10839.1","11298.7","10951.5","10941.5"
"Lower Interval","4001.2","3995.89","4016.05","4111","4023.93","3989.64","4096.9","4229.6","4349","4253","4248.7"
"Upper Interval","23137.76","23303.76","23831.81","25087","24827.55","25017.15","26164.7","27777","29354.2","28200.4","28176.9"
"Fraction Unfished","0.43468","0.427896","0.422106","0.41669","0.411453","0.406261","0.401987","0.398665","0.396782","0.395305","0.39362"
"Lower Interval","0.36004","0.352949","0.346935","0.34127","0.335709","0.330111","0.325476","0.321847","0.319776","0.318059","0.31599"
"Upper Interval","0.50932","0.502843","0.497277","0.49211","0.487197","0.482411","0.478498","0.475483","0.473788","0.472551","0.47125"
