"Year","Spawning Output","Interval","Fraction Unfished","Interval"
2013,"9,626","9,626–9,626","0.4","0.4–0.4"
2014,"9,476","9,476–9,476","0.4","0.4–0.4"
2015,"9,348","9,348–9,348","0.4","0.4–0.4"
2016,"9,228","9,228–9,228","0.4","0.4–0.4"
2017,"9,112","9,112–9,112","0.4","0.4–0.4"
2018,"8,997","8,997–8,997","0.4","0.4–0.4"
2019,"8,902","8,902–8,902","0.4","0.4–0.4"
2020,"8,829","8,829–8,829","0.4","0.4–0.4"
2021,"8,787","8,787–8,787","0.4","0.4–0.4"
2022,"8,754","8,754–8,754","0.4","0.4–0.4"
2023,"8,717","8,717–8,717","0.4","0.4–0.4"
