"","Estimate","Interval"
"Unfished Spawning Output","22,145","22,145–22,145"
"Unfished Age 1+ Biomass (mt)","216,864","216,864–216,864"
"Unfished Recruitment (R0)","12,580","12,580–12,580"
"Spawning Output (2023)","8,717","8,717–8,717"
"Fraction Unfished (2023)","0.39","0.39–0.39"
"Reference Points Based SB40%","",""
"Proxy Spawning Output SB40%","8,858","8,858–8,858"
"SPR Resulting in SB40%","0.458","0.458–0.458"
"Exploitation Rate Resulting in SB40%","0.012","0.012–0.012"
"Yield with SPR Based On SB40% (mt)","1,160","1,160–1,160"
"Reference Points Based on SPR Proxy for MSY","",""
"Proxy Spawning Output (SPR50)","9,880","9,880–9,880"
"SPR50","0.500"," - "
"Exploitation Rate Corresponding to SPR50","0.010","0.010–0.010"
"Yield with SPR50 at SB SPR (mt)","1,108","1,108–1,108"
"Reference Points Based on Estimated MSY Values","",""
"Spawning Output at MSY (SB MSY)","6,155","6,155–6,155"
"SPR MSY","0.348","0.348–0.348"
"Exploitation Rate Corresponding to SPR MSY","0.017","0.017–0.017"
"MSY (mt)","1,227","1,227–1,227"
