"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"5","SR_BH_steep",0.5,259.834,9.99757e-05,23396.5,9513.29,0.406611,2
"4","SR_BH_steep",0.55,259.066,0.000304574,23159,9427.73,0.407087,2
"3","SR_BH_steep",0.6,258.436,0.00132518,22964,9362.93,0.407722,2
"2","SR_BH_steep",0.65,257.913,8.29033e-05,22802.3,9313.86,0.408462,2
"1","SR_BH_steep",0.7,257.472,8.20987e-05,22667.2,9276.9,0.409266,2
"6","SR_BH_steep",0.72,257.314,0.000104479,22619.4,9264.9,0.4096,2
"7","SR_BH_steep",0.75,257.096,5.67646e-05,22553.5,9249.38,0.410109,2
"8","SR_BH_steep",0.8,256.773,6.66122e-05,22455.9,9228.17,0.410946,2
"9","SR_BH_steep",0.85,256.492,8.59402e-05,22369.9,9210.6,0.411741,2
"10","SR_BH_steep",0.9,256.247,5.72038e-05,22295.5,9197.48,0.412527,2
"11","SR_BH_steep",0.95,256.03,9.59405e-05,22231.1,9188.29,0.413307,2
"12","SR_BH_steep",1,255.838,0.000264757,22175.2,9182.17,0.414074,2
