"Year","CA Ntows","CA Nfish","OR Ntows","OR Nfish","WA Ntows","WA Nfish"
"1977","16","480","0","0","0","0"
"1978","54","1188","0","0","0","0"
"1979","29","649","0","0","0","0"
"1980","66","1135","0","0","0","0"
"1981","43","740","1","30","0","0"
"1982","57","723","5","150","0","0"
"1983","91","1230","0","0","0","0"
"1984","118","2755","0","0","0","0"
"1985","139","3179","0","0","0","0"
"1986","51","987","0","0","0","0"
"1987","41","397","0","0","0","0"
"1988","22","148","0","0","0","0"
"1989","50","759","0","0","0","0"
"1990","46","541","33","390","0","0"
"1991","41","532","47","1059","0","0"
"1992","40","523","52","1227","0","0"
"1993","59","996","12","281","0","0"
"1994","77","1413","1","40","0","0"
"1995","109","2284","2","24","0","0"
"1996","95","2104","14","490","1","7"
"1997","94","1756","48","2321","1","1"
"1998","64","1260","25","753","3","4"
"1999","121","2673","27","819","0","0"
"2000","81","1471","22","659","3","4"
"2001","80","1515","35","1063","11","599"
"2002","148","3346","33","1000","19","1193"
"2003","109","2743","48","1452","19","979"
"2004","70","1205","42","1256","12","254"
"2005","109","2013","42","1270","8","379"
"2006","187","3703","52","1475","2","100"
"2007","112","2171","62","1860","17","707"
"2008","176","3998","86","2436","14","475"
"2009","138","3305","72","2044","22","940"
"2010","147","2856","92","2448","15","892"
"2011","252","5712","64","1765","20","1130"
"2012","211","4304","74","1803","21","997"
"2013","195","4082","85","1962","21","990"
"2014","195","4087","81","1683","23","1039"
"2015","188","4075","74","1615","24","811"
"2016","191","4286","68","1531","29","1127"
"2017","117","3066","80","1651","65","1516"
"2018","63","1682","97","1518","38","1183"
"2019","43","977","89","1364","99","1640"
"2020","36","1056","62","947","39","541"
