state,gear,year,nsamps,ntows
CA,NONTWL,1985,3,3
CA,NONTWL,1986,9,9
CA,NONTWL,1987,54,15
CA,NONTWL,1988,8,7
CA,NONTWL,1989,18,12
CA,NONTWL,1990,24,14
CA,NONTWL,1992,75,4
CA,NONTWL,1993,3,3
CA,NONTWL,1994,46,12
CA,NONTWL,1995,36,6
CA,NONTWL,1996,26,1
CA,NONTWL,1997,36,2
CA,NONTWL,1998,130,7
CA,NONTWL,1999,1852,73
CA,NONTWL,2000,444,18
CA,NONTWL,2001,102,7
CA,NONTWL,2002,1026,40
CA,NONTWL,2003,834,29
CA,NONTWL,2004,132,9
CA,NONTWL,2005,620,34
CA,NONTWL,2006,594,31
CA,NONTWL,2007,278,14
CA,NONTWL,2008,1786,70
CA,NONTWL,2009,1168,51
CA,NONTWL,2010,1136,59
CA,NONTWL,2011,2762,146
CA,NONTWL,2012,1881,109
CA,NONTWL,2013,1577,93
CA,NONTWL,2014,2597,118
CA,NONTWL,2015,2460,119
CA,NONTWL,2016,1924,109
CA,NONTWL,2017,1495,69
CA,NONTWL,2018,460,34
CA,NONTWL,2019,237,14
CA,NONTWL,2020,159,10
CA,NONTWL,2021,18,5
CA,NONTWL,2022,29,9
CA,TWL,1981,737,42
CA,TWL,1982,723,57
CA,TWL,1983,1230,91
CA,TWL,1984,2755,118
CA,TWL,1985,3176,136
CA,TWL,1986,978,42
CA,TWL,1987,343,26
CA,TWL,1988,140,15
CA,TWL,1989,741,38
CA,TWL,1990,517,32
CA,TWL,1991,532,41
CA,TWL,1992,448,36
CA,TWL,1993,993,56
CA,TWL,1994,1367,65
CA,TWL,1995,2248,103
CA,TWL,1996,2078,94
CA,TWL,1997,1720,92
CA,TWL,1998,1130,57
CA,TWL,1999,821,48
CA,TWL,2000,1027,63
CA,TWL,2001,1413,73
CA,TWL,2002,2320,108
CA,TWL,2003,1909,80
CA,TWL,2004,1073,61
CA,TWL,2005,1393,75
CA,TWL,2006,3109,156
CA,TWL,2007,1893,98
CA,TWL,2008,2212,106
CA,TWL,2009,2137,87
CA,TWL,2010,1720,88
CA,TWL,2011,2950,106
CA,TWL,2012,2423,102
CA,TWL,2013,2505,102
CA,TWL,2014,1490,77
CA,TWL,2015,1615,69
CA,TWL,2016,2362,82
CA,TWL,2017,1571,48
CA,TWL,2018,1222,29
CA,TWL,2019,740,29
CA,TWL,2020,897,26
CA,TWL,2021,294,15
CA,TWL,2022,273,13
OR,NONTWL,2001,30,1
OR,NONTWL,2006,2,1
OR,NONTWL,2008,7,3
OR,NONTWL,2009,4,4
OR,NONTWL,2010,29,11
OR,NONTWL,2011,47,6
OR,NONTWL,2012,93,16
OR,NONTWL,2013,44,15
OR,NONTWL,2014,48,15
OR,NONTWL,2015,51,14
OR,NONTWL,2016,36,9
OR,NONTWL,2017,96,16
OR,NONTWL,2018,135,27
OR,NONTWL,2019,249,30
OR,NONTWL,2020,70,19
OR,NONTWL,2021,149,24
OR,NONTWL,2022,75,10
OR,TWL,1981,30,1
OR,TWL,1982,150,5
OR,TWL,1990,390,33
OR,TWL,1991,1059,47
OR,TWL,1992,1227,52
OR,TWL,1993,281,12
OR,TWL,1994,40,1
OR,TWL,1995,24,2
OR,TWL,1996,490,14
OR,TWL,1997,2321,48
OR,TWL,1998,753,25
OR,TWL,1999,819,27
OR,TWL,2000,659,22
OR,TWL,2001,1033,34
OR,TWL,2002,1000,33
OR,TWL,2003,1452,48
OR,TWL,2004,1256,42
OR,TWL,2005,1270,42
OR,TWL,2006,1473,51
OR,TWL,2007,1860,62
OR,TWL,2008,2429,83
OR,TWL,2009,2040,68
OR,TWL,2010,2419,81
OR,TWL,2011,1718,58
OR,TWL,2012,1710,58
OR,TWL,2013,1918,70
OR,TWL,2014,1635,66
OR,TWL,2015,1564,60
OR,TWL,2016,1495,59
OR,TWL,2017,1555,64
OR,TWL,2018,1383,70
OR,TWL,2019,1115,59
OR,TWL,2020,877,43
OR,TWL,2021,1113,67
OR,TWL,2022,1002,51
WA,NONTWL,2000,3,2
WA,NONTWL,2002,10,2
WA,NONTWL,2004,1,1
WA,NONTWL,2007,115,3
WA,NONTWL,2008,244,7
WA,NONTWL,2009,126,5
WA,NONTWL,2010,181,5
WA,NONTWL,2011,467,11
WA,NONTWL,2012,445,12
WA,NONTWL,2013,389,7
WA,NONTWL,2014,638,16
WA,NONTWL,2015,460,19
WA,NONTWL,2016,1127,29
WA,NONTWL,2017,913,54
WA,NONTWL,2018,738,30
WA,NONTWL,2019,1216,90
WA,NONTWL,2020,467,35
WA,NONTWL,2021,900,79
WA,NONTWL,2022,759,56
WA,TWL,1996,7,1
WA,TWL,1997,1,1
WA,TWL,1998,4,3
WA,TWL,2000,1,1
WA,TWL,2001,599,11
WA,TWL,2002,1183,17
WA,TWL,2003,979,19
WA,TWL,2004,253,11
WA,TWL,2005,379,8
WA,TWL,2006,100,2
WA,TWL,2007,592,14
WA,TWL,2008,231,7
WA,TWL,2009,814,17
WA,TWL,2010,711,10
WA,TWL,2011,663,9
WA,TWL,2012,552,9
WA,TWL,2013,601,14
WA,TWL,2014,401,7
WA,TWL,2015,351,5
WA,TWL,2017,603,11
WA,TWL,2018,445,8
WA,TWL,2019,424,9
WA,TWL,2020,74,4
WA,TWL,2021,392,13
WA,TWL,2022,101,6
