year,state_gear,prop_sspn,interp_prop_sspn
1981,WA_Trawl,1,1
1981,CA_Non-trawl,0.8885739031403925,0.8885739031403925
1981,CA_Trawl,0.9366435179679498,0.9366435179679498
1981,OR_Trawl,1,1
1981,OR_Non-trawl,1,1
1981,WA_Non-trawl,NA,1
1982,WA_Trawl,1,1
1982,CA_Non-trawl,0.8885587881270073,0.8885587881270073
1982,CA_Trawl,0.8124988269811609,0.8124988269811609
1982,OR_Trawl,1,1
1982,OR_Non-trawl,1,1
1982,WA_Non-trawl,NA,1
1983,WA_Trawl,1,1
1983,CA_Non-trawl,0.8841489784749894,0.8841489784749894
1983,CA_Trawl,0.8774038208740393,0.8774038208740393
1983,OR_Trawl,1,1
1983,OR_Non-trawl,1,1
1983,WA_Non-trawl,NA,1
1984,WA_Trawl,1,1
1984,CA_Non-trawl,0.9301312185669702,0.9301312185669702
1984,CA_Trawl,0.86963017110865,0.86963017110865
1984,OR_Trawl,1,1
1984,OR_Non-trawl,1,1
1984,WA_Non-trawl,NA,1
1985,WA_Trawl,1,1
1985,CA_Non-trawl,0.8734987308940624,0.8734987308940624
1985,CA_Trawl,0.819388786883526,0.819388786883526
1985,OR_Trawl,1,1
1985,OR_Non-trawl,1,1
1985,WA_Non-trawl,NA,1
1986,WA_Trawl,1,1
1986,CA_Non-trawl,0.8221045220906398,0.8221045220906398
1986,CA_Trawl,0.7971952356239823,0.7971952356239823
1986,OR_Trawl,1,1
1986,OR_Non-trawl,1,1
1986,WA_Non-trawl,NA,1
1987,WA_Trawl,1,1
1987,CA_Non-trawl,0.7445246954276411,0.7445246954276411
1987,CA_Trawl,0.6161750349082288,0.6161750349082288
1987,OR_Trawl,0.8523617047547463,0.8523617047547463
1987,OR_Non-trawl,1,1
1987,WA_Non-trawl,NA,1
1988,WA_Trawl,1,1
1988,CA_Non-trawl,0.9419598794961654,0.9419598794961654
1988,CA_Trawl,0.4368393125783789,0.4368393125783789
1988,OR_Trawl,0.8170857628351998,0.8170857628351998
1988,OR_Non-trawl,1,1
1988,WA_Non-trawl,1,1
1989,WA_Trawl,1,1
1989,CA_Non-trawl,0.9021780572277144,0.9021780572277144
1989,CA_Trawl,0.5837266908937991,0.5837266908937991
1989,OR_Trawl,0.6336840180552503,0.6336840180552503
1989,OR_Non-trawl,1,1
1989,WA_Non-trawl,1,1
1990,WA_Trawl,1,1
1990,CA_Non-trawl,0.8518498891676414,0.8518498891676414
1990,CA_Trawl,0.3568886043416595,0.3568886043416595
1990,OR_Trawl,0.46890715927066035,0.46890715927066035
1990,OR_Non-trawl,NA,1
1990,WA_Non-trawl,1,1
1991,WA_Trawl,1,1
1991,CA_Non-trawl,0.7701392414044559,0.7701392414044559
1991,CA_Trawl,0.349027282790888,0.349027282790888
1991,OR_Trawl,0.685796290970018,0.685796290970018
1991,OR_Non-trawl,1,1
1991,WA_Non-trawl,1,1
1992,WA_Trawl,1,1
1992,CA_Non-trawl,0.987544737959719,0.987544737959719
1992,CA_Trawl,0.33579720372565053,0.33579720372565053
1992,OR_Trawl,0.39194916896400556,0.39194916896400556
1992,OR_Non-trawl,1,1
1992,WA_Non-trawl,1,1
1993,WA_Trawl,1,1
1993,CA_Non-trawl,0.5934721004898765,0.5934721004898765
1993,CA_Trawl,0.38081713351234037,0.38081713351234037
1993,OR_Trawl,0.3661604284475796,0.3661604284475796
1993,OR_Non-trawl,1,1
1993,WA_Non-trawl,1,1
1994,WA_Trawl,1,1
1994,CA_Non-trawl,1,1
1994,CA_Trawl,0.36622280722128026,0.36622280722128026
1994,OR_Trawl,0.37414407036073805,0.37414407036073805
1994,OR_Non-trawl,1,1
1994,WA_Non-trawl,1,1
1995,WA_Trawl,0.31493230656655175,0.31493230656655175
1995,CA_Non-trawl,0.37429935773042994,0.37429935773042994
1995,CA_Trawl,0.2692598577708307,0.2692598577708307
1995,OR_Trawl,0.23363881205219164,0.23363881205219164
1995,OR_Non-trawl,0.9896469464474726,0.9896469464474726
1995,WA_Non-trawl,0.8608671978649816,0.8608671978649816
1996,WA_Trawl,0.31212441652351475,0.31212441652351475
1996,CA_Non-trawl,0.43436214893321434,0.43436214893321434
1996,CA_Trawl,0.23142571227024084,0.23142571227024084
1996,OR_Trawl,0.24489551817636054,0.24489551817636054
1996,OR_Non-trawl,0.9466453674121406,0.9466453674121406
1996,WA_Non-trawl,0.9817867036965412,0.9817867036965412
1997,WA_Trawl,0.32319461154339074,0.32319461154339074
1997,CA_Non-trawl,0.32715309517743896,0.32715309517743896
1997,CA_Trawl,0.2543790606204091,0.2543790606204091
1997,OR_Trawl,0.24867180560525007,0.24867180560525007
1997,OR_Non-trawl,0.9388849876301348,0.9388849876301348
1997,WA_Non-trawl,0.9821142566647898,0.9821142566647898
1998,WA_Trawl,0.4892883555439806,0.4892883555439806
1998,CA_Non-trawl,0.748615931948947,0.748615931948947
1998,CA_Trawl,0.33078863098674954,0.33078863098674954
1998,OR_Trawl,0.3497227976919921,0.3497227976919921
1998,OR_Non-trawl,0.9682646860229573,0.9682646860229573
1998,WA_Non-trawl,0.9985113639563027,0.9985113639563027
1999,WA_Trawl,0.5788812211847629,0.5788812211847629
1999,CA_Non-trawl,0.4245084692763611,0.4245084692763611
1999,CA_Trawl,0.23336720617524398,0.23336720617524398
1999,OR_Trawl,0.31292677420613374,0.31292677420613374
1999,OR_Non-trawl,0.9899497487437187,0.9899497487437187
1999,WA_Non-trawl,0.9997953714184152,0.9997953714184152
2000,WA_Trawl,0.7237135092336112,0.7237135092336112
2000,CA_Non-trawl,0.45323150199510115,0.45323150199510115
2000,CA_Trawl,0.3911348465290267,0.3911348465290267
2000,OR_Trawl,0.29032799922438585,0.29032799922438585
2000,OR_Non-trawl,0.9762540813297714,0.9762540813297714
2000,WA_Non-trawl,0.9931927416356032,0.9931927416356032
2001,WA_Trawl,0.6937254272612483,0.6937254272612483
2001,CA_Non-trawl,0.5022990225629526,0.5022990225629526
2001,CA_Trawl,0.27444381315130467,0.27444381315130467
2001,OR_Trawl,0.2883993266067617,0.2883993266067617
2001,OR_Non-trawl,0.6859849540261913,0.6859849540261913
2001,WA_Non-trawl,1,1
2002,WA_Trawl,0.7281928577398245,0.7281928577398245
2002,CA_Non-trawl,0.87894446688258,0.87894446688258
2002,CA_Trawl,0.25942335812357536,0.25942335812357536
2002,OR_Trawl,0.24294792422801997,0.24294792422801997
2002,OR_Non-trawl,0.9880493453168727,0.9880493453168727
2002,WA_Non-trawl,0.9986255827910748,0.9986255827910748
2003,WA_Trawl,0.5260492752585497,0.5260492752585497
2003,CA_Non-trawl,0.8971101332370167,0.8971101332370167
2003,CA_Trawl,0.2792791081775111,0.2792791081775111
2003,OR_Trawl,0.3032863502816656,0.3032863502816656
2003,OR_Non-trawl,0.9115853658536587,0.9115853658536587
2003,WA_Non-trawl,0.9914790296283803,0.9914790296283803
2004,WA_Trawl,0.7301730687819976,0.7301730687819976
2004,CA_Non-trawl,0.9363990615027051,0.9363990615027051
2004,CA_Trawl,0.39761990586301704,0.39761990586301704
2004,OR_Trawl,0.5723962309120129,0.5723962309120129
2004,OR_Non-trawl,0.9281496062992125,0.9281496062992125
2004,WA_Non-trawl,0.9995047839847933,0.9995047839847933
