"Year","Season","Fleet","Value","seLogB"
"2003",NA,NA,5647.59573667689,0.0980522186227896
"2004",NA,NA,5669.18351437638,0.0819427571813354
"2005",NA,NA,5044.22489016397,0.0596383708218077
"2006",NA,NA,5393.95896036445,0.0809858727787201
"2007",NA,NA,5827.87741328036,0.101982383838691
"2008",NA,NA,5023.60400914914,0.0607559526274401
"2009",NA,NA,6085.6815727608,0.0949294176049671
"2010",NA,NA,5000.74934869862,0.0645921015819227
"2011",NA,NA,6014.12405420554,0.0722601096799852
"2012",NA,NA,6035.48305604,0.0786910060245414
"2013",NA,NA,6081.63176598108,0.0820241917060569
"2014",NA,NA,5482.52891232196,0.0799500592848561
"2015",NA,NA,5984.13353362597,0.0763631880381133
"2016",NA,NA,6084.63645237015,0.075674055645811
"2017",NA,NA,6979.42919000667,0.0679637396301207
"2018",NA,NA,6416.31254739505,0.0573308345260159
"2019",NA,NA,6000.45318458534,0.0857766385949789
"2021",NA,NA,6769.26566024521,0.0700736311473391
